accX1_median,accX1_iqr,accX1_var,accX1_skew,accX1_kurtosis,accX1_rms,accY1_median,accY1_iqr,accY1_var,accY1_skew,accY1_kurtosis,accY1_rms,accZ1_median,accZ1_iqr,accZ1_var,accZ1_skew,accZ1_kurtosis,accZ1_rms,gyroX1_median,gyroX1_iqr,gyroX1_var,gyroX1_skew,gyroX1_kurtosis,gyroX1_rms,gyroY1_median,gyroY1_iqr,gyroY1_var,gyroY1_skew,gyroY1_kurtosis,gyroY1_rms,gyroZ1_median,gyroZ1_iqr,gyroZ1_var,gyroZ1_skew,gyroZ1_kurtosis,gyroZ1_rms,class
-1.157,4.952,26.72125008,0.976495459,0.234818065,5.086951551,-14.582,7.11,13.86404354,0.11391381,-1.372956441,15.36273959,-11.729,8.225,84.72359827,0.373799435,0.211812534,14.95384779,-0.224,5.654,10.43224148,0.253313202,-1.314124336,3.177419475,2.046,3.283,6.17952925,-1.13720775,0.889027701,3.076563706,0.171,3.284,6.356303,-0.484113159,-1.057204045,2.515751943,1
-1.013,6.103,44.66585368,0.525634106,-0.426105507,6.589512974,-12.425,7.776,14.02900392,-0.562241295,-1.259823354,14.10729706,-9.916,6.614,48.81075339,0.488068822,1.386490954,14.17770902,-0.407,2.117,6.337937007,0.157433352,-0.726318798,2.516517824,1.476,3.645,6.344927833,-0.5563775,-0.228868566,2.7638138,0,2.333,6.223334027,0.009607205,-0.51421291,2.444259634,1
0,3.976,74.39856617,0.293948186,0.896032661,8.453499481,-15.248,9.675,20.66271534,0.122480361,-1.694415455,15.27902033,-8.218,13.275,94.11081792,0.230696863,-0.786250055,14.40730073,-0.394,3.282,5.737624657,0.123117483,-0.621437143,2.489501436,1.531,4.376,8.13752,-0.621749412,-0.661351024,3.104822571,0.969,1.637,7.34665289,-0.569644361,-0.511866825,2.685389759,1
-2.329,6.981,60.71443717,-0.322153782,-0.169528513,7.863447631,-13.328,9.951,19.39176717,-0.217491057,-1.66703336,14.72200685,-11.885,7.178,48.02401967,0.63736926,1.056473356,12.97469142,0,3.8,8.65995124,0.243511933,-0.998434705,2.886418688,2.105,4.61,8.542465827,-0.584249088,-0.833455954,3.191082249,0,2.335,4.759922333,-0.103897185,-0.01858626,2.256410246,1
-2.252,6.927,50.28228559,-0.058095158,-0.554706543,7.382317674,-12.937,6.753,20.27129162,0.005718486,-0.853768117,14.08272864,-10.865,15.653,119.9928384,0.289407691,-0.985737674,15.9612307,-1.275,2.154,7.97488719,0.790033475,-0.45064712,2.849204338,2.587,3.395,6.04858225,-1.38925287,1.48522178,3.176327332,-1.618,2.855,4.263079307,-0.011135526,-1.333946309,2.480949754,1
1.885,4.492,22.82140481,-0.18541801,0.990200465,4.808899105,-12.419,7.77,15.66343016,-0.299085207,-1.480748938,14.72608425,-8.887,14.119,111.1642101,-0.026845604,-0.874851894,15.75678388,-0.369,5.643,8.4836175,0.213970375,-1.14433596,2.92145474,0.912,3.469,6.281616833,-0.455184784,-0.540218843,2.776776296,0.352,3.198,6.154170007,-0.221583786,-0.517867943,2.430638863,1
-1.602,6.678,53.66077136,0.248860919,0.763459655,7.184828956,-12.644,7.535,16.84707925,-0.347852305,-1.332200088,14.26904778,-15.491,13.588,45.16416669,-0.13943635,-1.562208786,16.12176145,0,3.698,9.11486549,0.055184517,-1.049306177,2.958098295,1.662,4.689,7.538799643,-0.473895087,-0.930047463,3.081931407,0,1.754,3.877745557,-0.535392401,-0.776585605,2.099639188,1
-0.639,6.98,40.14302411,0.179231514,-0.631440869,6.213490529,-14.994,9.274,17.10792383,-0.121565503,-1.498808938,14.76209202,-9.351,10.133,94.14240419,0.295536467,-0.459485895,13.86680049,-1.002,3.462,6.844225833,0.481665821,-0.527063469,2.701682765,1.778,4.788,7.949707893,-0.655678922,-0.629362221,3.08881194,0.625,1.517,4.522348393,-0.956063682,0.103393433,2.084404001,1
-1.098,8,57.90723656,-0.076205895,0.604478004,7.501034171,-14.278,9.811,21.58495736,0.10113898,-1.552421034,15.25382089,-10.506,9.536,82.27075679,0.387405563,-0.164678741,14.33050557,-0.599,4.981,8.208015157,0.249687253,-0.960247724,2.927681615,1.034,5.02,10.03116512,-0.411186501,-1.063912315,3.244480199,0.337,3.016,6.91296014,-0.34187072,-0.717425845,2.576329948,1
1.047,8.772,81.58004917,-0.489500807,-0.049152156,8.878876118,-14.173,7.861,17.07896204,0.163022823,-1.530307095,15.61316234,-10.487,9.953,84.53033062,0.373243954,0.295929204,13.78546979,-1.461,5.892,10.50665325,0.464172336,-1.197251945,3.262987674,1.728,5.225,9.25760449,-0.419416011,-1.174875029,3.240150478,1.021,1.863,4.691785023,-1.109640993,0.597771974,2.167876805,1
