accX1_median,accX1_iqr,accX1_var,accX1_skew,accX1_kurtosis,accX1_rms,accY1_median,accY1_iqr,accY1_var,accY1_skew,accY1_kurtosis,accY1_rms,accZ1_median,accZ1_iqr,accZ1_var,accZ1_skew,accZ1_kurtosis,accZ1_rms,gyroX1_median,gyroX1_iqr,gyroX1_var,gyroX1_skew,gyroX1_kurtosis,gyroX1_rms,gyroY1_median,gyroY1_iqr,gyroY1_var,gyroY1_skew,gyroY1_kurtosis,gyroY1_rms,gyroZ1_median,gyroZ1_iqr,gyroZ1_var,gyroZ1_skew,gyroZ1_kurtosis,gyroZ1_rms,class
0.42,1.578,12.844311323333331,-1.6287428098860461,2.1291694693477154,3.6357366846349035,-7.465,6.1770000000000005,29.548798076666674,0.7789722492403263,-0.4538879671126197,7.7399742066753685,-7.169,7.187,31.51110266000001,1.1118853755642628,0.4105695315408475,7.574502576407245,0.495,2.483,4.33817639,-0.10435540935936455,0.34838424518751454,2.379751466014886,0.0,0.559,1.9136069066666668,0.29800889841357026,0.6397219296160279,1.3590403820343235,0.35,1.134,2.3359595766666668,0.9126652478915261,0.328817533461788,1.7238621058541779,3
-0.243,2.6430000000000002,31.873801006666667,-0.4542900246543798,4.587447637266665,5.6518517638027275,-4.288,10.039,38.23337166666666,-0.0582313451998834,-1.0682493810293516,7.327006854098063,-4.351,7.423,36.07099550666667,0.6931635548303109,-0.5883413259920407,6.9349077571370765,0.138,2.383,5.167330826666667,0.2215364591075671,-0.712061584776841,2.379005540136466,-0.168,1.074,3.3521560600000004,0.5191204220418102,1.5372742504146304,1.7939128741385406,0.223,1.72,2.7931120000000003,-0.025781577454086112,1.9283083338780331,1.7930063245844952,3
0.94,4.618,55.777544506666665,0.11677570981378291,0.365569315660915,7.317953243906386,-6.661,8.875,51.76192077333334,0.5343558960823735,0.013575818175515675,8.460075801078855,-7.505,8.047,59.06412208333333,0.3321391152656129,-0.22917492294236874,9.35863393022721,0.21,2.362,4.196372856666666,0.005744925809944929,0.5420472123009858,2.296630070342196,0.0,0.8270000000000001,3.5026097099999998,0.1623084220338321,0.9300315935685326,1.838406853773125,0.0,1.22,3.3790396400000007,-0.0319185853625997,1.1191180968017216,1.876549610322093,3
-1.227,3.82,39.51456387333334,0.4320488329417201,1.3987059259967785,6.208130526978311,0.0,14.096,52.13942494,-0.5190226954947925,-0.5096401866989777,7.2973728313688335,-4.689,8.455,81.56295702333334,-0.8225427353426522,1.1427991758843579,10.586093260499835,0.0,2.943,6.721090026666666,-0.12534255757112642,-0.8319783987831739,2.6144328027317894,0.0,1.5670000000000002,5.0442085400000005,-0.25180830859988834,-0.008848094378605342,2.2005988003268566,0.0,0.946,2.8464249899999996,0.8495381612263287,0.7657069948312394,1.7006704913062964,3
-0.349,4.507,57.49686929000001,-0.0018853261939234744,1.9328924780070773,7.615716420665886,-0.397,14.84,65.53956287666666,-0.42583596198145224,-0.7961155692576796,8.017286540968833,-4.395,10.3,81.60892691666666,-0.8218147188112055,1.2579481736351523,9.911236148937226,0.427,2.871,4.98447134,-0.39602481156156993,0.1796516917699349,2.399615877593745,0.0,1.599,4.061778873333333,0.32116052400445394,0.388982955780071,1.9767145772720958,0.622,2.635,3.9288174166666674,-0.2444393679438543,0.01857284669972703,2.159789276758268,3
-0.782,2.722,42.31330560999999,-0.5214609575848677,2.3211365496227003,6.636198508182226,-5.359,7.4350000000000005,44.26499479,0.056236093558740485,-0.38139952600560934,8.200937085479927,-4.263,8.921,51.85765883333334,-0.11981529679947929,-0.1290429724581985,8.030029571552026,0.0,2.699,6.2557732900000005,0.02310426759927183,-0.4292085732869504,2.4677153725662935,0.0,1.002,3.21593839,0.7268005002637744,0.31007392236994713,1.8068416089962065,0.279,0.793,3.776155456666667,0.24579674672703433,1.0810964116456123,1.9801739216543581,3
-0.645,5.276000000000001,49.950025373333325,-0.47660996636524305,0.5343549860607864,7.365249801602116,-4.505,6.581,50.390697573333334,-0.48925533272405713,-0.6674798553016754,9.876652390359803,-4.19,8.398,54.48220346,0.42424892485434124,-0.8086422095367105,8.366343691242907,0.0,4.174,7.35324331,0.0576208484258063,-0.9178854719160454,2.65691687487584,0.47,3.063,5.274250500000002,-0.2135799621484329,-0.59355528287495,2.3654396716044146,0.287,2.152,6.1378968333333335,-0.1619990341809415,-0.33019723750381047,2.436506720696662,3
-0.242,7.159,54.48222999333333,-0.37593199700005686,0.2600078538492734,7.404815676301471,-4.712,7.595,55.52713540666667,-0.1486699391270018,-0.6219029166169388,8.946595330068305,-2.699,8.193,36.64280376,0.3538235954068871,-0.8132487503691026,6.452234766342589,-0.138,3.197,7.8627815,0.030203739709602506,-0.7816967371548,2.747456984194657,0.147,1.8800000000000001,3.995003973333333,-0.7883776252151566,0.07727414358344076,1.979993535342982,0.146,1.275,5.32431824,-0.009741163433969777,0.28660610312260726,2.2608741052964447,3
-1.448,7.194,51.41281562666666,-0.7327105157847499,0.5826326844650054,7.709650191805073,-4.417,9.759,65.61854891666665,-0.17915952604840935,-0.7927264487229144,9.484123269970715,-5.354,6.577,42.00913345666667,0.2755271206127018,-0.3138692026134149,7.299935350398659,-0.325,4.029999999999999,8.014169176666668,0.0338166547747952,-1.061328231872963,2.7760974838791235,0.78,3.315,5.194777810000001,-0.1444080514163417,-0.7172610163758697,2.466549387302026,-0.181,3.135,5.7209901766666675,-0.012438286996870936,-0.48220899282628116,2.3518428348850184,3
-2.111,8.562000000000001,49.266638609999994,-0.14824099007348915,0.6981841128870068,7.238369647924869,-3.041,5.365,42.203586416666674,-0.5497267473062525,0.021176163290782757,7.9321261462485575,-3.945,5.912,50.14881290666667,-0.6561424625919748,1.700349803786997,7.83922133122927,0.0,2.975,7.310105823333333,0.07259951424715348,-0.8454401897434485,2.653189883894479,0.479,1.941,4.119709543333333,-0.30356264013430817,0.7862581090305438,2.1346340857392865,0.0,1.983,6.147473223333332,0.057165084974150876,-0.23138036525466443,2.4407674694652908,3
