accX1_median,accX1_iqr,accX1_var,accX1_skew,accX1_kurtosis,accX1_rms,accY1_median,accY1_iqr,accY1_var,accY1_skew,accY1_kurtosis,accY1_rms,accZ1_median,accZ1_iqr,accZ1_var,accZ1_skew,accZ1_kurtosis,accZ1_rms,gyroX1_median,gyroX1_iqr,gyroX1_var,gyroX1_skew,gyroX1_kurtosis,gyroX1_rms,gyroY1_median,gyroY1_iqr,gyroY1_var,gyroY1_skew,gyroY1_kurtosis,gyroY1_rms,gyroZ1_median,gyroZ1_iqr,gyroZ1_var,gyroZ1_skew,gyroZ1_kurtosis,gyroZ1_rms,class
-1.009,2.816,4.278909576666667,-0.8288473835373207,-0.713784476411885,2.999437940681554,-9.285,1.907,13.77391401,-0.12664790536476844,-0.07004642376895065,10.28200604940495,-8.187,5.145999999999999,56.14320205666667,-1.2608751419248898,2.6982480481010827,12.796569419965648,0.0,1.838,6.573148833333334,0.31179503166996514,-0.26578285426485637,2.5478478212012585,0.0,0.515,1.1518891666666666,-2.230082940242356,7.515682766929057,1.0516672667721478,0.0,0.752,0.5674718733333332,0.2742283405202588,-0.1147632776451819,0.8105375993746373,6
-2.202,3.3520000000000003,9.195194723333332,-0.9372542369773874,0.7788003771086469,3.850221328703066,-9.335,6.182,30.67209092333333,0.39058162170476435,-0.5359046577326243,11.995908707555255,-12.077,7.3740000000000006,52.440575373333324,0.42337008566714585,1.6704242870796113,14.87614275812114,0.136,3.141,8.255625076666666,-0.16636755357268077,-0.8446192319223069,2.8299099208278697,0.0,2.018,4.4489025233333335,-0.36280707543937746,-0.5702702901253445,2.0897123438406537,-0.115,0.418,2.694992306666667,-0.26959891683821036,1.976071785781242,1.6323497174318986,6
-2.701,4.317,13.25352132333333,-0.8607954848615804,0.22526376047344332,5.044234467191231,-9.829,6.172000000000001,34.64361077666666,0.22542581799299818,-0.6654268602492435,12.050641758844215,-11.495,5.647,52.85123899999999,0.09211806631747524,1.5436955255154716,14.120443699827566,0.0,3.216,7.254502623333333,-0.19161066736809956,-1.0249211207837026,2.659187409717487,0.141,3.7030000000000003,6.018581473333334,-0.01222172670003707,-0.7913016714532937,2.4054293005615444,-0.796,1.905,4.88874524,0.20199376673277528,0.07600606723055758,2.2081828275756514,6
-3.833,3.4680000000000004,22.40389732666667,0.4046049331117378,2.9801538394551903,5.830128276461848,-10.052,5.007,27.068688009999992,0.010829158993114684,-0.3830232709920005,12.280482475863886,-11.06,5.167999999999999,71.63867133333333,0.2564206299164207,1.349088676951653,14.269581572001332,-0.168,2.441,6.609709576666667,-0.30648232085322086,-0.6677672406516417,2.519962301305319,0.185,1.537,2.981125543333334,0.030117336534160502,0.9632415646309305,1.691734801911931,0.293,2.495,4.699101990000001,0.12907180577860158,-0.07358687998322333,2.1486109559433975,6
-3.009,4.343,30.717081309999998,2.053592464619076,6.874546440944272,5.917668196173219,-10.336,6.831000000000001,35.24708496,0.36681765585994797,-0.2971362257272916,12.235865242801589,-10.568,4.795,50.28822037333334,-0.033856198456932045,2.0967092621807373,13.741993161110218,0.0,2.421,5.95783874,-0.03815096386460524,-0.43217002523499337,2.3941107743794983,0.0,2.24,3.407630943333334,-0.1192755174876836,-0.36862070445887696,1.821785398997368,0.0,1.607,5.670933990000001,0.11423463942135388,-0.09978562609277519,2.3353734262425787,6
-2.652,3.225,15.512587556666666,-1.5028309926374508,3.840634924522731,4.863407949164865,-9.752,3.664999999999999,21.502713576666675,-0.11228110704261354,-0.37239725821058256,11.373797330707102,-11.415,6.151000000000001,63.022818056666644,0.6819912369195664,1.264214564751084,13.69373622354396,0.0,3.729,8.30304266,-0.03403671807486287,-1.0199833572118566,2.8233606429218354,-0.175,1.4140000000000001,3.0192925233333328,-0.5768706273051137,-0.27652541751053006,1.7424074724357677,0.0,0.9440000000000001,2.1678921666666673,-1.0684663389781741,1.7533622027797415,1.477347298369615,6
-2.459,4.758,13.152221256666666,0.1809250703240297,-0.6423261299135046,4.042000227610087,-9.679,5.389000000000001,28.091465643333326,0.3444878895262391,-0.16215915242278456,11.866010124721788,-11.453,6.121,77.40015072666667,0.12436066388077185,0.7269654492889828,14.166139697179327,0.0,3.2729999999999997,8.460622076666667,-0.010327149847374165,-0.9584485907309088,2.8501752507521356,-0.565,2.017,4.348582973333333,0.3693827311776243,-0.015858182077079785,2.0446499260264583,0.0,2.263,2.8422535766666663,-0.18698702292597352,-0.48811958305581626,1.7329326588185705,6
-3.275,2.7669999999999995,11.08333960666667,-2.3481277200229833,7.4437444103489945,4.661970420326582,-9.747,5.062999999999999,18.67424519333333,0.4712741671348226,-0.8497676306380182,9.59037880378038,-11.372,7.9399999999999995,63.48570331,0.31971399797893035,0.41353921313999464,14.755124629768465,0.564,2.2030000000000003,5.97510575,-0.4435226666590479,-0.3712026872830023,2.3987728446020062,0.0,2.307,4.225642143333333,-0.5655449354546082,-0.24987432113416386,2.0247464137516085,-0.32,1.5150000000000001,1.662703956666667,-0.8643564259936605,0.5575641523236783,1.3901950222900383,6
-1.849,4.219,11.39628808333333,-0.34314857915044295,1.941388024103464,3.8695353467826084,-9.707,4.260999999999999,17.378188159999997,0.4403112235437247,0.014487175431346255,11.363519405536298,-10.068,4.5169999999999995,64.80454307333336,0.39359284056256627,1.2784039647673726,13.48334467259515,0.0,3.399,7.516026659999999,0.052864274080692025,-0.9021774173059778,2.6863267783350557,0.0,2.349,3.8176112099999995,-0.5337272206448819,-0.6840955997580775,1.9234362479687235,-0.405,1.337,1.7663716233333335,-0.7789481738991861,-0.20881767635210657,1.4259141909666233,6
-1.571,3.6590000000000003,7.441198343333333,-0.7042420390144835,-0.7760008035149633,3.823046167652177,-9.778,4.277999999999999,27.572318416666675,0.47732042237026706,0.2917824259161459,11.602454311049883,-10.904,6.353,57.863457333333336,-0.025549502753168998,1.1943552100492232,14.415264133549549,0.0,2.683,8.130407249999998,-0.12230116372464683,-0.9140900224841855,2.794149301665893,-0.32,2.6959999999999997,3.300423926666667,-0.06576042554491779,-0.16019604486826422,1.792877196017619,0.0,1.9909999999999999,2.6977487499999993,-0.578033642475937,-0.29741037056983144,1.6845898017024798,6
