accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-1.004,-9.554,-8.322,0.0,0.0,0.0
-0.731,-9.536,-8.418,0.0,0.0,0.0
-0.935,-9.584,-8.273,0.0,0.0,0.0
-1.129,-9.612,-8.182,0.0,0.0,0.0
-0.979,-9.577,-8.307,0.0,0.0,0.0
-0.934,-9.511,-8.364,0.0,0.0,0.0
-0.651,-9.505,-8.279,0.0,0.0,0.0
-1.003,-9.712,-8.581,0.0,0.0,0.0
-4.084,-9.426,-5.562,-0.107,0.527,0.11
-13.947,-13.89,-3.887,1.616,4.073,-0.876
-20.72,-19.568,-6.725,-0.187,1.993,4.357
-14.687,-19.568,-7.067,-2.464,2.457,4.357
-9.165,-19.568,-7.375,-2.464,0.921,4.357
-1.683,-19.568,-8.604,-1.343,-1.221,4.357
5.708,-19.568,-9.373,0.395,0.508,4.357
18.505,-19.568,2.603,3.441,-4.354,4.357
18.505,-12.0,-16.584,-1.04,-3.147,-4.373
5.403,-19.568,-12.738,3.895,2.497,-4.373
-15.851,-19.568,-31.039,3.33,-4.354,-4.373
-20.72,-19.568,-29.603,-4.289,-1.487,-4.373
-20.72,-19.568,-11.232,-4.289,0.946,-0.53
7.397,-19.568,8.186,-4.289,-1.221,2.136
-2.079,-18.385,8.186,1.476,-0.313,-3.616
-3.955,-19.568,-0.456,4.441,-1.452,-4.373
-14.616,-19.568,-1.075,4.441,-3.295,-4.373
-0.748,-9.72,-9.055,0.0,-0.14,0.0
-0.753,-9.62,-8.769,0.0,-0.111,0.0
-0.216,-9.657,-8.497,0.0,-0.134,0.0
-0.224,-9.655,-8.191,0.0,0.0,0.0
-0.993,-9.593,-8.393,0.0,-0.12,0.0
-0.591,-9.764,-8.679,0.0,-0.194,0.0
-0.628,-9.608,-8.897,0.0,-0.135,0.0
-0.474,-9.655,-8.204,0.0,-0.378,0.0
-3.505,-9.747,-5.278,0.0,0.0,-0.135
-13.098,-19.253,-2.211,1.604,4.376,1.438
-20.72,-19.568,-8.581,-3.033,4.376,4.357
-5.949,-19.568,-11.593,-4.289,1.39,4.357
-0.658,-19.568,-15.148,-4.122,0.102,4.357
18.505,-19.568,1.449,0.879,-4.354,4.357
18.505,-5.156,-27.404,1.821,-2.415,-4.373
0.0,-19.568,-14.9,4.436,4.373,-4.373
1.913,-13.092,-31.039,3.972,-3.001,-4.373
-9.63,-19.568,-31.039,-4.289,-3.159,-4.373
-20.428,-19.568,-23.74,-4.289,-3.543,-3.805
-20.72,-19.568,-1.902,-4.289,-3.063,0.175
2.873,-19.568,8.186,-3.603,0.923,1.112
1.278,-18.355,8.186,3.286,-0.46,-3.579
-3.584,-19.568,-2.446,4.441,-1.987,-4.373
-9.225,-19.568,-1.659,4.441,-1.422,-4.373
-2.599,-19.568,-2.638,1.327,-2.053,-4.373
-0.442,-9.716,-9.239,0.0,0.0,0.0
-0.354,-9.737,-9.025,0.0,0.0,0.0
0.0,-9.669,-8.531,0.0,0.0,0.0
-0.371,-9.731,-8.681,0.0,0.0,0.0
-0.538,-9.692,-8.841,0.0,-0.262,0.0
-0.342,-9.603,-8.902,0.0,-0.283,0.0
-0.355,-9.624,-8.741,0.0,-0.252,0.0
-1.58,-9.685,-7.618,0.0,-0.226,0.0
-2.734,-11.563,-3.315,-0.478,1.496,0.0
-16.422,-19.568,-7.323,0.195,4.376,2.416
-11.499,-19.568,-12.999,-2.609,1.688,4.357
-4.52,-19.568,-16.424,-4.289,2.239,4.357
0.57,-19.568,-13.444,-4.289,0.502,4.357
13.802,-19.568,-0.315,-4.289,-4.354,4.357
18.505,-9.017,-27.239,4.441,-4.354,2.973
6.739,-10.622,-22.196,3.205,3.642,-4.373
-13.429,-14.776,-26.749,4.441,-0.934,-4.373
-4.564,-19.568,-31.039,-4.289,-3.032,-4.373
-17.102,-19.568,-23.138,-4.289,-3.935,-3.5
-19.594,-19.568,-1.13,-4.289,-0.179,-1.56
-10.585,-19.568,8.186,-4.289,-3.347,2.942
-3.328,-12.104,8.186,1.048,-0.662,-2.403
-0.749,-15.121,0.702,3.805,-3.152,-4.373
-1.919,-19.169,0.0,2.456,-3.114,-4.373
-4.806,-19.568,0.359,1.485,-0.457,-4.373
-0.233,-9.9,-9.013,0.0,0.0,0.189
-0.512,-9.617,-8.901,0.0,0.0,0.113
0.0,-9.588,-8.881,0.0,-0.324,0.0
-0.238,-9.704,-8.507,0.0,-0.186,0.0
-0.354,-9.527,-8.602,0.0,0.0,0.0
-0.55,-9.685,-8.754,0.0,0.0,0.0
-0.633,-9.761,-8.74,0.0,0.0,0.0
-0.945,-9.651,-8.672,0.0,-0.291,0.0
-2.739,-10.786,-6.994,0.406,-0.527,0.282
-10.603,-15.668,-4.402,0.128,1.414,1.377
-15.489,-19.568,-5.703,-0.282,3.012,4.357
-10.19,-19.568,-11.645,-2.088,2.708,4.357
-3.68,-19.568,-16.092,-3.254,1.932,4.357
6.819,-19.568,-3.461,-4.289,-4.354,4.357
18.505,-15.758,-21.183,4.441,-4.354,3.621
8.616,-9.88,-27.657,4.173,0.413,-4.373
-7.945,-19.568,-30.825,4.023,-0.345,-4.373
-14.568,-19.568,-30.536,-4.289,-2.669,-4.373
-16.047,-19.568,-19.847,-4.289,-3.152,-4.03
-17.809,-19.568,2.659,-4.289,-1.797,0.585
7.079,-19.568,8.186,-4.289,-1.791,0.0
0.644,-19.126,8.186,4.065,-0.497,-3.633
-3.258,-19.568,-2.969,4.441,-1.663,-4.373
-9.664,-19.568,-2.575,4.085,-2.323,-4.373
-4.004,-19.568,0.483,1.708,-4.354,-4.373
0.0,-9.834,-9.717,0.124,-0.65,0.159
0.0,-9.454,-9.274,0.0,-0.255,0.13
0.242,-9.825,-9.082,0.139,0.0,0.0
-0.149,-9.645,-8.715,0.0,0.136,0.0
-0.439,-9.681,-8.762,0.0,0.0,0.0
-0.395,-9.558,-8.72,0.0,-0.158,0.0
-0.3,-9.469,-8.806,0.0,-0.196,0.0
-0.833,-9.49,-8.942,-0.105,-0.236,0.0
-2.19,-9.941,-7.387,-0.74,-0.567,-0.157
-7.07,-15.943,0.162,0.281,-0.199,0.736
-15.057,-19.568,-9.495,0.4,4.376,4.357
-10.919,-19.568,-14.061,-2.157,1.852,4.357
-1.139,-19.568,-17.493,-1.676,1.504,4.357
18.505,-19.568,5.953,-4.231,-4.354,4.357
18.505,-13.308,-31.039,4.441,-4.354,-0.943
1.236,-19.568,-25.11,3.729,0.733,-4.373
-6.535,-19.568,-28.596,1.651,-3.096,-4.373
-17.3,-19.568,-23.114,-4.289,-2.747,-4.373
-3.159,-19.568,-26.254,-4.289,-4.354,-3.21
-20.72,-19.568,1.109,-4.289,-3.753,-0.669
5.422,-19.568,8.186,-1.405,4.376,0.0
1.067,-18.482,3.505,4.441,-3.209,-4.033
-5.77,-19.568,0.869,4.1,-3.97,-4.373
-2.401,-19.568,-0.675,0.0,-4.354,-4.373
3.462,-19.568,-0.376,-2.398,1.284,-4.373
-1.551,-10.065,-9.249,0.317,2.015,0.369
-2.016,-9.66,-9.347,0.219,1.763,0.659
-1.015,-9.734,-8.721,0.357,-0.147,0.491
-0.942,-9.362,-9.756,0.165,0.0,0.141
-1.442,-9.609,-8.397,0.0,0.0,0.0
-1.381,-9.546,-8.907,0.0,0.0,0.0
-1.831,-9.619,-8.04,0.0,-0.124,0.0
-1.299,-9.392,-8.466,0.0,-0.169,0.0
-2.285,-9.504,-8.28,0.0,0.0,-0.105
-10.871,-12.619,-4.111,0.339,0.476,0.807
-20.191,-19.568,-3.407,0.565,4.376,4.039
-12.864,-19.568,-11.31,-2.236,2.996,4.357
-6.245,-19.568,-14.226,-4.289,1.905,4.357
3.069,-19.568,-6.828,-4.289,-3.535,4.357
18.505,-12.329,-19.056,3.681,-4.354,2.986
7.682,-10.532,-19.188,4.441,4.073,-4.373
-3.342,-18.823,-31.039,4.441,-0.953,-4.373
-11.315,-19.568,-31.039,-4.289,-3.711,-4.373
-15.235,-19.568,-22.527,-4.289,-3.768,-3.411
-14.37,-19.568,2.203,-4.289,-2.337,-1.472
2.294,-19.568,8.186,-1.411,0.0,-1.108
-0.492,-19.568,2.829,4.441,-1.499,-4.373
-3.367,-19.568,-4.921,4.103,-2.336,-4.373
-5.943,-19.568,-4.739,3.335,-1.788,-4.373
-2.177,-19.568,-2.509,1.785,-1.897,-4.373
-0.386,-9.754,-8.77,0.0,0.139,-0.106
-0.692,-9.743,-8.82,0.0,-0.242,0.0
-0.16,-9.694,-8.93,0.0,-0.238,0.0
-0.251,-9.666,-8.878,0.0,-0.123,0.0
-0.367,-9.679,-8.896,0.0,-0.142,0.0
-0.643,-9.667,-8.953,0.0,-0.147,0.0
-1.036,-9.772,-8.832,0.0,-0.204,0.0
-1.374,-9.773,-8.476,-0.103,-0.319,0.165
-3.159,-13.079,-3.065,0.907,0.442,0.0
-11.767,-19.36,-3.887,0.989,4.376,2.683
-11.646,-19.568,-9.197,-1.152,4.145,4.357
-12.053,-19.568,-12.859,-2.473,4.376,4.357
-7.476,-19.568,-13.307,-4.289,1.843,4.357
18.505,-19.568,-6.541,4.441,-4.354,4.357
15.565,-2.786,-28.199,2.109,1.684,-4.373
-4.384,-15.012,-23.895,4.441,0.433,-4.373
-2.416,-19.568,-31.039,-1.087,-2.967,-4.373
-14.26,-19.568,-23.078,-4.289,-4.172,-4.373
-10.772,-19.568,-18.148,-4.289,-3.737,-1.005
-17.315,-19.568,4.772,-4.289,-1.582,2.766
7.977,-19.568,8.186,-1.488,3.433,-1.102
-0.893,-19.568,6.037,4.441,-2.193,-4.373
-4.071,-19.568,-1.614,3.934,-3.045,-4.373
-6.2,-19.568,-0.844,1.699,-3.351,-4.373
-1.503,-19.568,-1.705,0.11,-2.043,-4.373
-0.608,-9.675,-9.084,0.0,-0.357,0.0
-0.343,-9.837,-9.14,0.184,-0.314,0.0
-0.816,-9.741,-9.474,0.13,-0.249,0.0
-0.461,-9.587,-9.309,0.0,-0.42,0.19
0.101,-9.771,-9.225,0.0,-0.536,0.0
-0.753,-9.737,-8.843,0.0,-0.509,-0.156
-0.714,-9.794,-8.91,0.123,-0.366,0.0
-2.445,-11.058,-8.437,0.126,-0.835,0.183
-5.91,-12.717,-6.847,-0.673,-0.65,1.034
-8.169,-18.379,-5.611,-0.572,2.396,3.072
-10.45,-19.568,-13.689,-0.699,4.376,4.357
-8.458,-19.568,-18.135,-2.633,1.806,4.357
-5.387,-19.568,-17.998,-4.289,1.259,4.357
-1.004,-19.568,-8.32,-4.289,-4.354,4.357
18.505,-16.184,-18.821,4.441,-4.354,4.357
8.936,-8.544,-20.261,3.721,3.831,-4.373
1.067,-13.896,-26.239,4.441,-1.035,-4.373
-8.372,-19.568,-31.039,-0.563,-4.354,-4.373
-15.084,-19.568,-20.158,-4.289,-3.56,-4.373
-9.574,-19.568,-9.643,-4.289,-4.354,0.438
1.368,-19.568,8.186,-4.289,-1.293,2.789
-0.471,-16.815,8.186,1.391,-3.959,-0.773
-3.823,-13.516,-4.392,4.441,-3.027,-4.373
-4.275,-14.156,-1.674,2.318,-4.354,-4.373
-1.488,-14.873,2.188,-0.719,-4.354,-4.373
-0.658,-9.59,-9.4,0.0,-0.153,0.0
-0.783,-9.618,-8.839,0.0,-0.183,0.0
-0.653,-9.688,-8.647,0.0,-0.341,0.0
-0.383,-9.566,-8.709,0.0,-0.304,0.0
-0.33,-9.615,-8.824,0.0,-0.208,0.0
-0.492,-9.588,-8.838,0.0,-0.167,0.0
-0.456,-9.627,-8.945,0.0,-0.212,0.0
-0.404,-9.595,-8.957,0.0,0.0,0.0
-0.779,-9.839,-8.328,0.0,0.0,0.0
-7.272,-14.242,0.0,0.136,-0.19,0.597
-20.155,-19.568,-8.107,-0.851,4.376,4.306
-11.648,-19.568,-12.726,-4.051,3.082,4.357
-2.659,-19.568,-16.691,-4.289,1.791,4.357
18.505,-19.568,8.186,-1.029,-4.354,4.357
18.505,-7.623,-31.039,4.441,-0.846,-4.104
1.12,-19.568,-18.374,4.441,1.261,-4.373
2.581,-19.568,-31.039,-1.053,-4.354,-4.373
-19.235,-19.568,-15.555,-4.289,-4.354,-4.373
-8.176,-19.568,-23.664,-4.289,-4.214,-1.557
-6.465,-19.568,8.186,-4.289,-4.354,4.287
3.161,-18.449,8.186,0.354,2.101,-2.207
-0.474,-19.568,-1.307,4.441,-2.634,-4.373
-4.327,-19.568,-1.419,4.352,-2.483,-4.373
-4.765,-19.568,1.274,2.072,-1.638,-4.373
-1.3,-19.568,-2.435,2.164,0.0,-4.373
0.216,-9.435,-9.607,0.0,-0.583,0.0
-0.422,-9.666,-9.25,0.0,0.0,0.0
-0.568,-9.8,-9.226,0.0,0.0,0.0
0.213,-9.633,-8.564,0.0,0.347,0.0
-1.028,-9.633,-8.157,0.0,-0.124,-0.143
-0.701,-9.743,-8.811,0.139,-0.697,0.0
-0.242,-9.463,-9.27,0.0,-0.559,0.0
-0.902,-9.679,-8.568,-0.14,0.0,0.0
-4.129,-10.575,-5.668,-0.426,-0.428,0.388
-8.575,-16.644,-0.784,0.259,1.257,1.789
-11.725,-19.568,-4.799,2.324,3.065,4.357
-10.656,-19.568,-9.517,1.047,3.497,4.357
-3.632,-19.568,-11.844,0.225,1.472,4.357
-3.802,-19.568,-13.169,-1.895,1.238,4.357
18.505,-19.568,-14.583,4.441,-4.354,4.357
17.382,-14.167,-27.418,4.064,0.356,-4.373
-11.227,-19.568,-22.558,4.441,2.059,-4.373
3.32,-19.568,-30.879,-1.06,-4.354,-4.373
-15.7,-19.568,-19.998,-4.289,-4.354,-4.373
-4.464,-19.568,-18.975,-4.289,-2.868,-3.803
-20.009,-19.568,7.598,-4.289,-1.611,-2.357
-0.361,-19.568,8.186,0.215,2.956,-1.244
-0.334,-19.525,0.152,4.441,-1.226,-4.373
-6.252,-19.568,-2.175,4.441,-1.964,-4.373
-5.4,-19.568,-3.211,3.407,-0.521,-4.373
-1.175,-9.703,-9.202,0.0,-0.12,0.0
-1.149,-9.69,-9.129,0.0,-0.258,0.1
-0.813,-9.663,-8.963,0.0,-0.156,0.0
-0.92,-9.724,-8.946,0.0,0.0,0.0
-1.153,-9.759,-8.868,0.0,-0.106,0.0
-1.133,-9.645,-8.847,0.0,-0.227,0.0
-1.301,-9.668,-8.813,0.0,-0.249,0.0
-0.902,-10.085,-8.978,0.0,0.0,0.0
-3.513,-10.234,-6.757,0.0,0.118,0.382
-10.192,-14.771,-3.672,0.0,2.609,0.781
-16.867,-19.568,-10.532,-0.581,4.134,4.357
-11.472,-19.568,-15.524,-2.694,2.252,4.357
-6.706,-19.568,-17.799,-4.289,3.08,4.357
18.505,-19.568,8.186,-1.856,-4.354,4.357
16.349,-4.786,-18.816,4.441,2.836,-4.373
-2.813,-12.958,-24.029,4.441,-0.537,-4.373
-5.339,-19.568,-31.039,-1.34,-3.85,-4.373
-13.608,-19.568,-22.428,-4.289,-3.625,-4.373
-8.417,-19.568,-21.246,-4.289,-4.053,-4.099
-16.954,-19.568,2.82,-4.289,-2.536,-0.102
9.209,-19.568,8.186,-4.289,0.0,-0.607
-2.193,-17.677,7.438,3.854,-1.173,-3.36
-6.469,-19.568,-5.863,4.441,-3.045,-4.373
-4.216,-18.195,-1.708,2.788,-3.838,-4.373
2.158,-19.568,0.114,-0.333,-1.827,-4.373
-0.379,-9.751,-8.764,0.0,0.382,0.0
-0.43,-9.765,-8.608,0.0,0.319,-0.133
-1.263,-9.626,-8.28,0.0,0.0,-0.133
-0.5,-9.615,-8.648,0.122,-0.454,0.0
-0.248,-9.639,-9.0,0.0,-0.209,-0.13
-0.649,-9.497,-8.741,0.0,-0.429,0.0
-0.564,-9.522,-8.374,0.0,-0.572,0.0
0.467,-9.262,-8.411,0.0,-0.948,0.215
0.379,-9.589,-7.199,0.141,-1.144,-0.126
-7.349,-14.057,2.831,0.326,0.249,-1.009
-20.72,-19.568,-0.813,0.806,3.135,4.357
-8.048,-19.568,-5.909,1.057,2.844,4.357
-3.814,-19.568,-7.391,1.151,-0.528,4.357
9.353,-19.568,-12.029,4.339,0.192,4.357
18.505,-19.568,-13.406,4.27,-1.666,4.357
18.505,-8.501,-11.93,-1.736,-2.788,-4.373
3.962,-16.869,-14.906,4.292,0.241,-4.373
-9.386,-19.568,-31.039,4.124,-2.893,-4.373
-11.2,-19.568,-29.281,-4.289,-2.355,-4.373
-19.132,-19.568,-21.765,-4.289,-2.82,-2.503
