accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-1.009,-9.167,-7.843,0.0,0.0,0.0
-1.005,-9.182,-7.947,0.0,0.0,0.0
-0.975,-9.255,-7.918,0.0,0.0,0.0
-1.005,-9.239,-7.846,0.0,0.0,0.0
-0.954,-9.213,-7.87,0.0,0.0,0.0
-1.017,-9.214,-7.864,0.0,0.0,0.0
-1.027,-9.24,-7.898,0.0,0.0,0.0
-1.05,-9.25,-7.802,0.0,0.0,0.0
-0.888,-9.483,-7.803,0.0,0.0,0.0
-3.214,-10.331,-2.876,0.219,0.266,0.381
-7.573,-16.696,0.376,0.795,4.375,2.013
-16.837,-19.298,0.543,-0.898,4.375,4.357
-8.956,-19.298,-4.473,1.405,1.847,4.357
-4.208,-19.298,-11.998,4.436,-1.56,4.357
7.721,-19.298,-22.41,4.436,-1.554,4.357
13.356,-19.298,-27.783,4.436,1.168,4.357
12.768,-11.808,-25.676,1.882,1.69,-0.663
17.912,-19.182,-27.797,2.895,-0.227,-4.373
0.533,-19.298,-30.895,-1.695,-1.465,-4.373
4.598,-19.298,-30.895,-4.294,-4.355,-4.373
-15.138,-19.298,8.33,-4.294,-4.355,-4.373
3.821,-14.573,-3.579,-1.909,4.375,3.196
5.153,-13.849,-4.831,-3.434,-0.824,1.693
3.534,-11.951,-5.144,-3.57,1.59,0.861
4.517,-9.895,-5.184,-3.181,4.375,-1.256
2.371,-9.019,-5.853,-2.532,1.161,0.256
3.518,-8.13,-3.151,-2.905,2.822,-0.863
-0.819,-10.155,-3.983,-1.938,4.375,-3.09
-0.611,-9.361,-8.776,0.0,-0.279,0.0
-1.104,-9.388,-8.507,0.0,-0.186,0.0
-0.806,-9.457,-8.734,0.0,-0.119,0.0
-1.013,-9.402,-8.564,0.0,0.0,0.0
-0.897,-9.353,-8.537,0.0,0.0,0.0
-0.722,-9.665,-8.384,0.0,0.0,0.0
-1.125,-11.113,-7.375,-0.13,0.281,0.248
-2.3,-12.736,-6.993,0.153,1.53,1.365
1.86,-13.443,-5.043,1.104,1.504,2.85
3.715,-10.084,-7.9,3.247,4.348,2.486
6.29,-4.958,-10.544,4.082,4.375,0.739
6.335,-5.35,-13.384,4.001,4.375,-2.249
-0.911,-19.298,-18.748,4.436,4.375,-2.262
-6.21,-19.298,-30.895,3.596,4.375,0.652
-19.311,-19.298,-27.789,-4.294,2.804,2.424
-9.151,-19.298,-20.395,-4.294,2.214,4.357
0.0,-17.854,-14.7,-4.294,4.375,2.093
10.41,-8.237,-17.714,-1.098,3.681,-1.711
1.336,-19.298,-30.754,-4.294,-0.911,-4.373
3.816,-19.298,8.33,-4.294,-4.355,-4.373
-6.82,-5.034,8.33,3.087,1.466,-2.09
2.411,-3.077,7.188,-3.072,-4.355,3.081
-0.824,-9.321,-8.716,0.0,0.296,0.0
-1.341,-9.193,-8.412,-0.108,0.312,0.0
-1.698,-9.486,-8.634,0.0,0.378,-0.13
-1.907,-9.373,-8.454,0.0,0.0,0.0
-1.527,-9.257,-8.301,0.0,-0.182,0.102
-1.224,-9.284,-8.554,0.0,-0.217,0.0
-1.339,-9.233,-8.712,0.0,0.0,0.0
-1.274,-9.737,-8.313,0.0,0.0,0.0
-1.647,-10.652,-7.882,0.0,0.441,0.249
-0.995,-10.165,-9.188,0.429,1.027,0.821
1.307,-9.366,-6.38,0.283,1.132,0.911
0.625,-8.855,-5.933,1.354,2.367,1.056
2.498,-6.07,-8.382,2.579,4.375,0.229
2.64,-7.598,-10.992,2.577,4.375,-1.331
-4.644,-16.652,-17.271,4.436,4.375,-1.711
-13.714,-19.298,-30.092,2.852,2.787,2.554
-20.381,-19.298,-26.674,-3.894,4.375,4.25
-13.269,-19.298,-22.207,-4.294,4.375,4.177
1.991,-19.298,-12.744,-4.294,3.783,3.82
15.034,-19.298,-30.895,-3.607,2.671,-4.373
16.896,-19.298,-10.643,-4.294,-4.355,-4.373
18.844,-19.298,8.33,-2.666,-4.355,1.829
-13.543,-8.629,-11.742,-4.294,3.579,4.357
16.951,-9.128,-2.149,-0.853,0.873,2.248
4.09,-6.841,-6.79,-1.474,0.528,0.959
1.723,-7.702,-7.619,-2.014,1.479,1.15
-1.176,-9.258,-9.129,-0.101,-0.318,0.0
-1.374,-9.294,-8.684,0.0,0.0,0.0
-1.446,-9.293,-8.872,0.0,0.0,0.0
-1.749,-9.297,-8.793,0.0,0.0,-0.139
-1.99,-9.372,-8.83,0.0,0.0,-0.133
-2.155,-9.388,-8.725,0.0,0.0,0.0
-1.895,-9.795,-8.816,0.0,-0.135,0.0
-1.559,-10.36,-8.489,0.152,0.314,0.192
-0.612,-11.726,-7.853,0.8,0.396,0.724
3.407,-11.978,-6.798,0.682,1.247,1.283
