accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-0.91,-9.44,-9.443,0.0,0.0,0.0
-0.829,-9.421,-9.456,0.0,0.0,0.0
-0.929,-9.42,-9.497,0.0,0.0,0.0
-0.853,-9.408,-9.459,0.0,0.0,0.0
-0.929,-9.388,-9.431,0.0,0.0,0.0
-0.708,-9.468,-9.408,0.0,0.0,0.0
-0.912,-9.461,-9.4,0.0,0.0,0.0
-0.909,-9.409,-9.413,0.0,0.0,0.0
-0.818,-9.669,-9.167,0.0,-0.114,0.0
-0.156,-10.712,-6.153,-0.189,0.0,0.184
-1.13,-10.204,-4.547,0.433,-0.874,0.156
-0.467,-8.692,-7.536,1.098,0.246,0.0
0.148,-7.855,-7.416,0.6,0.434,-0.218
-1.085,-7.903,-7.984,0.716,0.319,-0.483
-1.477,-6.93,-7.669,0.0,0.21,-0.403
-1.81,-6.073,-7.954,-0.215,0.0,-0.165
-1.426,-10.484,-8.015,-0.261,-0.178,0.127
-2.029,-14.684,-8.684,0.165,-1.638,0.266
-4.061,-13.107,-10.85,0.474,-1.018,2.514
-8.565,-15.579,-2.991,-0.573,-2.364,4.357
-4.996,-10.193,-10.609,-0.914,3.525,1.272
0.0,-4.263,-10.03,-1.455,0.0,1.161
4.6,4.643,-15.946,-1.097,-1.208,-2.02
-2.529,9.717,-25.082,-0.455,-1.435,-1.157
3.674,-11.037,-26.661,-2.461,2.596,0.958
0.405,-9.369,-9.56,0.0,0.0,0.0
-0.24,-9.327,-9.266,0.0,0.0,0.0
0.305,-9.42,-9.355,0.0,0.0,0.0
0.0,-9.269,-9.468,0.0,0.0,0.0
0.315,-9.445,-9.174,0.0,0.0,0.0
0.242,-9.451,-9.311,0.0,0.108,0.0
0.199,-9.585,-9.21,0.0,0.0,0.0
0.238,-9.425,-9.332,0.0,0.0,0.0
-0.264,-9.987,-9.121,0.0,0.0,0.0
-0.368,-10.94,-7.361,0.0,-0.32,0.424
1.08,-10.278,-2.435,1.112,-1.088,1.162
0.101,-8.417,-11.744,1.259,0.759,0.0
-3.4,-7.914,-7.224,-0.569,-0.592,0.0
-1.152,-5.365,-7.561,0.375,-1.782,0.232
1.282,-5.258,-7.925,0.0,-1.78,-0.474
0.972,-13.042,-4.637,-2.386,-2.164,-0.398
2.939,-19.298,-2.088,-1.667,-2.569,-0.715
1.331,-10.78,-9.07,1.329,4.375,0.515
-5.536,-5.654,-15.845,-1.086,4.375,2.711
6.403,5.688,-26.704,-2.258,2.252,3.877
12.628,7.822,-23.942,-4.294,0.68,0.0
8.393,-8.491,-27.23,-4.294,1.591,-3.28
-7.063,-19.298,-26.203,-2.38,-0.803,-4.373
-2.016,-19.298,-7.987,-0.843,0.0,-0.187
-1.238,-19.298,-20.695,4.436,0.713,0.0
-0.249,-9.542,-9.471,0.0,0.0,0.0
-0.776,-9.222,-10.088,0.0,0.108,-0.128
-0.625,-9.358,-9.192,0.0,0.0,0.0
0.0,-9.59,-9.229,0.0,-0.217,0.0
-0.163,-9.47,-9.898,0.0,0.0,0.0
-0.425,-9.396,-9.593,0.0,0.367,0.0
-0.857,-9.511,-9.293,0.0,0.0,0.0
-0.337,-9.637,-9.381,0.0,-0.191,0.0
-0.301,-9.586,-9.469,0.0,-0.142,0.0
-1.425,-10.904,-7.383,0.0,-0.323,0.331
0.463,-8.866,-4.838,0.976,-0.188,0.516
-2.782,-7.933,-11.302,0.737,-1.034,0.474
-0.906,-6.729,-7.965,0.687,-0.881,0.0
1.198,-6.583,-7.899,0.787,-1.573,-0.382
0.113,-9.5,-4.837,0.0,1.292,-0.702
-8.121,-11.886,-3.78,-1.685,-0.362,0.51
4.248,-14.613,2.451,-1.506,-4.355,1.592
1.737,-7.296,-8.189,2.128,3.846,-0.861
-5.081,-4.96,-18.116,-1.303,4.375,1.578
0.971,5.143,-29.259,-2.73,2.094,1.895
7.659,-2.112,-29.337,-4.294,-0.281,-1.37
5.285,-19.298,-23.464,-4.294,0.653,-3.41
-10.59,-19.298,-9.964,-1.096,-0.687,-1.608
-4.204,-19.298,-8.245,2.306,-0.382,-0.124
-0.393,-10.016,-28.804,4.436,1.142,2.311
-0.266,-9.212,-8.13,0.0,-0.121,0.178
-0.541,-9.287,-8.913,0.301,-0.176,0.0
0.0,-9.293,-8.122,0.0,0.0,0.0
-0.401,-9.185,-8.391,0.0,0.0,0.0
-0.577,-9.515,-8.183,0.0,0.0,0.0
-0.714,-9.127,-8.241,0.0,0.0,0.0
-0.623,-9.352,-8.069,0.0,-0.114,0.0
-0.374,-9.317,-8.337,0.0,0.0,0.0
-0.355,-9.615,-7.802,0.0,0.0,0.0
-0.868,-11.132,-5.511,0.0,0.14,0.265
0.177,-9.27,-4.965,1.038,-1.232,0.77
2.535,-7.345,-7.234,1.771,0.267,0.265
-1.446,-6.859,-8.792,0.635,0.547,-0.287
-2.047,-7.062,-5.015,0.286,-0.305,-0.488
0.268,-6.488,-3.453,0.425,-0.455,-0.555
-1.704,-13.324,-4.144,-1.871,-1.083,0.587
0.806,-16.194,5.618,-1.823,-3.041,1.338
0.338,-9.501,-8.768,-0.817,4.375,0.447
-6.825,-2.427,-15.882,-2.353,4.375,3.645
12.859,14.098,-30.895,-2.695,0.468,2.153
10.886,-3.004,-30.895,-4.294,1.884,-0.961
-19.054,-19.298,-18.187,-2.243,-1.566,-4.373
-8.027,-19.298,-7.821,1.033,0.67,2.384
-3.061,-1.107,-26.066,4.436,-0.341,1.665
6.978,17.692,-30.895,-0.368,-0.781,1.227
0.0,-9.489,-8.681,0.0,0.0,0.0
-0.817,-9.3,-9.703,0.0,-0.12,0.0
-0.404,-9.468,-8.507,0.0,-0.133,0.0
-0.578,-9.377,-9.115,0.0,-0.197,0.0
-0.953,-9.218,-9.201,0.0,-0.145,0.0
-0.671,-9.488,-8.605,0.0,-0.258,0.0
-0.641,-9.491,-9.097,0.0,-0.208,0.0
-0.404,-9.276,-9.062,0.0,0.0,0.0
-0.617,-9.401,-8.825,0.0,0.0,0.0
-1.037,-9.525,-8.706,0.0,0.0,0.0
-1.882,-12.188,-5.608,0.163,-0.352,0.471
-0.357,-9.741,-2.271,2.064,-1.438,1.181
-3.941,-4.72,-13.581,1.955,-1.617,1.112
1.152,-5.296,-7.424,0.0,-2.062,0.641
-0.577,-6.323,-6.724,-1.055,-0.752,-0.267
-3.167,-12.271,-2.167,0.0,-0.624,0.0
4.754,-17.503,1.174,-3.173,-2.586,0.569
4.864,-12.588,-4.0,-0.36,4.103,-1.478
-6.76,-7.24,-12.969,0.734,4.375,2.448
3.863,2.658,-26.446,1.211,2.631,3.19
9.081,4.652,-30.895,-3.48,1.714,1.081
6.545,-14.629,-25.902,-4.294,1.983,-2.215
-7.604,-19.298,-12.709,-4.294,-1.83,-4.373
-7.692,-19.298,-1.509,-0.241,0.232,1.09
0.565,-19.298,-17.764,4.436,0.189,0.559
-0.326,-9.697,-10.288,0.0,0.147,0.0
0.594,-8.742,-10.876,-0.171,0.41,-0.139
-1.191,-10.251,-9.903,0.185,0.126,-0.146
-0.516,-9.231,-10.499,0.0,0.0,0.14
0.0,-9.433,-10.385,0.135,0.0,0.0
-0.899,-9.44,-10.276,0.0,0.0,0.0
-0.435,-9.48,-10.227,0.0,-0.24,0.0
0.0,-9.467,-10.501,0.0,-0.164,0.0
-0.437,-9.588,-10.109,0.0,0.0,0.0
-0.844,-11.213,-10.061,0.0,-0.177,0.231
-3.65,-11.108,-1.452,1.84,-2.88,1.244
2.181,-5.395,-9.534,2.104,0.822,1.103
1.642,-7.824,-4.005,0.11,-0.663,0.0
-2.108,-8.838,-6.698,0.116,0.0,-1.826
-4.263,-10.754,-8.034,0.805,-0.44,-0.926
-3.289,-16.887,-3.843,-0.738,-1.143,0.128
-1.697,-12.31,-8.075,-0.822,0.869,1.346
0.0,-3.498,-15.073,-1.787,3.881,3.163
3.995,5.391,-13.66,-0.335,0.651,3.614
14.667,15.309,-30.895,-4.294,2.148,0.521
