accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-2.88,-11.232,-4.62,1.527,-1.177,0.723
-0.177,-10.945,-4.328,2.721,-2.036,0.98
0.688,-9.969,-1.878,2.856,-1.698,0.671
1.726,-9.185,-0.698,2.756,-1.398,0.0
2.636,-6.6,-3.12,1.522,-1.512,-1.815
0.0,-4.236,-3.714,0.0,-1.452,-2.04
-2.883,-4.25,-2.731,0.0,-0.583,-0.782
-1.113,-4.094,-3.38,-0.302,0.317,-0.414
-3.77,-4.073,-0.672,-0.131,1.218,1.255
-4.896,-8.085,6.212,1.398,2.501,2.545
-6.829,-5.272,8.62,2.828,3.784,2.494
-8.024,-1.444,6.12,2.781,4.005,3.858
0.0,-0.198,-0.556,3.426,3.975,4.393
4.412,7.115,-9.225,3.295,2.504,3.537
5.938,12.193,-22.736,1.87,0.0,1.412
4.725,2.084,-15.811,-3.148,-3.573,-0.226
-3.845,-17.275,9.106,-4.3,-2.374,-3.749
-12.644,4.886,4.421,0.315,0.398,0.626
0.606,4.637,-8.866,-0.178,0.0,0.497
-2.163,4.784,-4.261,-0.564,-0.208,0.518
-1.48,2.069,-6.175,-0.983,0.321,0.952
-1.003,1.246,-7.275,-1.808,0.13,0.787
-1.209,-0.763,-4.407,-3.176,0.488,-0.836
-1.823,-4.783,-0.85,-3.532,1.657,-2.412
-5.37,-8.882,0.798,-3.843,1.832,-3.102
-0.919,-10.308,-8.818,0.0,0.0,0.0
-0.91,-10.317,-8.903,0.0,0.0,0.0
-0.885,-10.222,-9.249,0.0,0.0,0.0
-1.122,-10.291,-9.226,0.0,0.0,0.0
-1.614,-10.427,-8.96,0.0,0.0,0.152
-1.192,-10.064,-9.219,0.0,-0.142,0.21
-1.541,-10.506,-7.293,0.154,-0.46,0.112
-1.777,-11.049,-5.504,1.388,-2.371,0.562
2.123,-11.309,-2.785,2.677,-2.839,0.845
5.608,-10.618,0.177,2.833,-1.457,-0.318
5.789,-10.588,2.13,2.78,-0.868,-2.097
-0.756,-7.349,-2.508,2.067,-0.552,-2.411
-3.49,-5.84,-5.463,0.704,-0.283,-1.474
-2.625,-4.794,-6.554,0.265,0.0,-0.22
-3.326,-5.003,-4.489,-0.726,0.582,0.67
-2.963,-8.037,-0.508,-0.282,1.725,1.956
-5.319,-11.106,5.525,0.499,2.552,2.707
-7.708,-6.4,9.106,1.734,3.162,3.88
-6.695,-0.497,9.106,2.469,3.243,4.393
4.174,1.022,1.814,4.431,2.53,4.393
4.036,7.697,-14.602,4.431,0.587,3.553
3.477,8.762,-22.385,2.629,-0.259,0.345
5.469,-7.775,-12.382,-4.3,-4.117,-2.612
-5.708,-4.939,9.106,-2.706,-4.311,-1.108
-7.574,2.257,-0.223,0.784,0.737,0.736
-0.828,-10.223,-8.909,0.0,0.0,0.0
-0.865,-10.281,-8.662,0.0,0.0,0.0
-0.797,-10.211,-8.993,0.0,0.0,0.0
-0.839,-10.353,-8.763,0.0,0.0,0.0
-0.802,-10.177,-8.749,0.0,-0.147,0.0
-0.81,-10.412,-8.309,0.0,0.0,0.0
-1.448,-10.534,-7.499,0.195,0.0,0.234
-2.225,-11.082,-4.841,1.033,-1.089,0.545
0.425,-11.396,-1.309,2.133,-2.324,0.659
3.44,-12.156,1.652,3.348,-2.703,0.128
4.03,-11.477,1.249,4.192,-1.079,-1.272
-0.118,-7.454,-2.768,2.629,-1.023,-1.914
-0.841,-4.48,-4.628,1.284,-1.401,-0.908
0.241,-3.42,-5.391,0.228,-0.216,-0.928
-0.345,-4.118,-6.211,-0.379,0.298,-0.513
-3.653,-6.059,-3.447,-1.561,0.664,0.581
-2.504,-7.836,-1.192,-0.932,2.229,1.978
-4.319,-6.506,3.706,0.241,2.449,3.03
-7.405,-2.134,9.106,1.416,3.074,3.374
-8.581,-0.184,9.106,2.915,3.44,4.304
0.0,1.736,1.998,4.431,2.427,4.393
5.23,8.17,-16.878,4.431,0.588,2.863
3.147,6.513,-17.578,-0.415,-2.541,0.181
-0.823,-13.785,9.106,-4.3,-3.77,-2.703
-9.076,3.847,0.8,-0.371,0.0,-0.969
-0.67,-10.289,-9.462,0.0,0.0,0.0
-0.647,-10.359,-9.326,0.0,0.0,0.0
-0.689,-10.302,-9.321,0.0,0.0,0.0
-0.604,-10.308,-9.363,0.0,0.0,0.0
-0.484,-10.281,-9.476,0.0,0.0,0.0
-0.618,-10.353,-9.692,0.0,0.0,0.0
-1.055,-10.322,-8.954,0.0,0.0,0.0
-1.068,-10.521,-8.739,0.13,-0.186,0.177
-2.598,-12.258,-3.407,1.161,-2.586,0.484
3.398,-12.451,0.188,2.773,-2.699,1.007
8.062,-12.172,1.178,4.245,-1.411,-0.776
0.572,-11.165,-3.056,3.431,-0.725,-2.682
-7.414,-7.291,-7.822,0.847,-0.493,-2.247
-3.616,-6.424,-7.323,0.0,-0.482,0.0
-2.34,-5.67,-6.237,-0.622,0.336,0.312
-6.506,-9.041,0.224,-1.191,1.243,1.798
-5.526,-10.673,6.415,1.119,2.148,3.838
-8.2,-5.665,9.106,2.856,3.347,3.762
-6.246,-5.031,9.106,4.431,3.088,4.393
4.282,-2.391,-3.263,4.431,2.661,4.393
7.709,3.06,-19.939,4.431,1.319,2.844
10.694,3.744,-30.119,-1.114,-2.366,-0.222
-4.751,-20.199,9.106,-4.3,-2.185,-4.283
-8.66,3.388,1.727,-0.475,0.56,-0.571
-0.418,4.863,-9.292,-0.199,-0.151,0.349
