accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
0.147,-9.618,-8.78,0.0,0.0,0.0
0.136,-9.565,-8.801,0.0,0.0,0.0
0.197,-9.63,-8.805,0.0,0.0,0.0
0.0,-9.589,-8.881,0.0,0.0,0.0
0.328,-9.634,-8.728,0.0,0.0,0.0
0.141,-9.601,-8.689,0.0,0.0,0.0
0.256,-9.612,-8.839,0.0,0.0,0.0
0.288,-9.509,-8.88,0.0,0.0,0.0
-1.647,-10.45,-5.652,0.266,-0.207,-0.184
-19.888,-19.54,-11.897,1.232,-0.379,1.152
-15.019,-19.54,-1.047,-3.002,-2.117,4.393
19.209,-19.54,-2.893,4.43,-3.747,4.393
19.209,-19.54,-24.085,4.43,-4.354,4.135
16.926,-19.54,-30.079,4.43,-4.354,-4.337
-20.016,-19.54,-26.933,-4.301,-4.354,-4.337
-11.734,-19.54,-13.186,-4.301,-4.354,4.272
11.649,-19.54,-6.455,-4.301,-4.354,4.393
19.209,-19.54,-14.49,4.43,-4.354,4.393
19.209,-19.54,-23.373,4.43,-4.354,-4.337
4.829,-19.54,-30.079,4.43,-2.638,-4.337
-20.016,-19.54,1.107,-4.301,-4.354,-4.337
-2.701,-10.42,-12.048,-4.301,-2.215,4.107
0.106,-13.462,1.359,-1.958,-4.354,-1.939
1.169,-9.495,-8.69,1.175,-4.174,0.0
-2.505,-10.165,-8.828,0.0,-0.497,-0.499
-2.532,-9.178,-9.284,0.0,0.0,0.0
-2.685,-9.381,-9.161,0.0,0.0,0.0
-2.296,-9.29,-9.126,0.0,0.146,0.0
-2.713,-9.305,-9.291,0.0,0.24,0.0
-3.222,-9.282,-9.549,0.0,0.173,0.0
-3.023,-9.271,-9.411,0.0,0.0,0.0
-2.614,-9.204,-9.358,0.0,-0.175,0.0
-2.776,-9.16,-9.327,0.0,-0.18,0.0
-8.379,-8.485,-9.591,-0.652,0.951,-1.149
-20.016,-19.395,-30.079,2.33,1.606,0.692
-18.98,-19.54,-30.079,-4.301,-1.01,4.393
14.557,-19.54,-16.461,-4.301,-4.354,4.393
19.209,-19.54,6.619,4.43,-4.354,4.393
19.209,-19.54,-24.821,-0.807,-4.354,-4.337
-20.016,-19.54,-18.016,-2.351,-4.354,-4.337
-20.016,-19.54,-15.822,-4.301,-3.572,0.281
-3.314,-19.54,-15.462,-4.301,-4.354,4.393
19.209,-19.54,-12.975,-0.35,-4.354,4.393
