accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-0.231,-10.765,-11.78,-0.586,-1.002,1.18
0.133,-12.406,-11.846,-0.849,-0.558,1.42
2.793,-14.328,-9.857,-1.224,0.128,1.442
1.974,-7.792,-9.093,1.1,0.879,0.1
2.729,-11.037,-8.98,0.626,1.599,-0.235
2.177,-11.023,-12.476,1.896,1.472,-1.692
0.33,-12.096,-13.154,1.038,0.738,-3.094
-0.922,-14.937,-12.372,0.253,1.372,-3.928
-7.887,-16.012,-11.926,1.617,2.707,-3.021
-12.284,-12.402,-18.469,2.255,-0.874,0.202
-3.794,-15.575,-13.153,-2.051,-0.974,3.762
-0.193,-19.928,-14.065,-1.068,-2.19,4.357
3.802,-19.928,-15.931,-1.842,-1.978,4.357
2.795,-18.888,-13.04,-3.407,-0.502,4.113
2.884,-12.558,-10.036,-2.901,-1.276,3.253
3.352,-6.356,-9.299,-1.053,-1.248,1.354
3.536,-7.393,-8.573,0.106,-1.004,-1.131
3.704,-13.029,-9.462,1.503,0.742,-3.516
0.561,-19.928,-14.612,2.993,2.904,-4.374
-1.512,-19.928,-14.643,1.935,2.834,-4.374
-12.976,-19.316,-14.434,3.269,-0.544,-4.374
-6.533,-11.971,-13.142,-0.946,-0.223,0.0
-4.203,-10.662,-10.239,-0.191,-1.672,0.574
-3.941,-11.698,-10.495,1.316,-3.147,1.162
-2.12,-16.365,-13.416,3.269,-4.354,3.14
-4.148,-19.624,-13.505,2.023,4.175,-2.982
-7.306,-12.344,-11.403,-1.411,1.085,-2.535
-6.866,-11.367,-9.064,1.433,-3.639,-0.547
-4.306,-11.829,-12.244,2.125,-2.266,1.266
-2.463,-14.459,-13.171,2.489,-2.856,3.342
1.726,-18.757,-15.533,2.16,-0.717,3.534
-0.634,-18.798,-16.951,-0.812,-0.306,4.152
2.444,-18.399,-13.966,-2.455,-1.699,4.357
5.146,-14.226,-13.512,-2.182,-1.119,4.041
5.461,-8.651,-11.887,-1.533,-0.388,1.435
3.888,-7.514,-10.781,-1.194,-1.284,-1.033
3.349,-11.64,-9.782,-0.975,-1.626,-3.541
1.995,-19.658,-8.269,-3.153,-2.91,-4.374
-1.06,-19.928,-7.92,-0.802,-0.813,-4.374
-4.214,-17.252,-9.782,2.361,1.55,-4.202
-13.803,-9.697,-13.78,3.27,-2.726,-1.743
-1.82,-14.366,-12.648,3.004,-1.718,4.357
1.857,-15.716,-15.874,1.506,0.725,3.54
-0.952,-17.895,-14.314,-2.407,0.985,3.883
-0.227,-17.966,-10.138,-2.972,-1.3,4.193
1.715,-13.484,-11.618,-1.365,-2.848,3.469
2.571,-7.925,-10.305,-1.532,-2.032,2.067
4.962,-5.967,-6.457,-1.261,-0.591,-0.207
2.277,-9.553,-8.09,0.0,0.247,-2.793
2.357,-16.971,-9.854,0.743,1.883,-4.101
-3.122,-8.98,-12.041,-1.282,-0.668,1.328
-2.386,-15.121,-10.918,-1.8,-1.331,2.539
0.348,-18.813,-13.59,-0.962,-2.455,3.403
1.727,-17.652,-13.298,-2.276,-1.96,3.957
2.32,-14.87,-10.628,-2.473,-1.261,3.431
2.557,-10.019,-9.007,-1.065,-0.797,1.85
2.637,-7.716,-8.513,0.105,-0.208,0.0
1.313,-10.047,-9.174,1.443,0.315,-1.984
1.955,-16.406,-11.717,2.851,1.772,-3.53
-0.379,-19.928,-16.46,3.753,3.688,-4.374
-2.667,-15.034,-17.546,2.155,4.376,-3.069
-3.455,-11.232,-13.785,-0.154,4.099,-1.106
-1.91,-8.979,-10.854,-0.518,1.337,-0.252
-2.53,-8.618,-9.178,-0.365,0.544,-0.962
-3.456,-8.539,-10.913,0.0,1.14,-0.475
-3.334,-10.051,-10.561,-1.175,0.933,0.165
-2.7,-11.172,-9.079,-1.262,0.877,0.514
-2.087,-10.963,-8.551,-1.346,-0.385,0.736
-0.709,-11.163,-8.715,-0.118,-0.592,0.386
-1.43,-10.501,-9.684,-0.29,-0.226,0.173
-0.878,-10.406,-9.88,0.0,-0.57,0.416
0.304,-9.92,-10.249,0.149,-1.239,-0.181
-0.352,-10.071,-10.162,0.0,-0.738,-0.975
-1.741,-10.576,-10.429,0.336,-0.188,-1.013
-2.476,-10.358,-10.761,0.107,-0.519,-0.346
-5.178,-16.262,-15.127,-2.665,-1.757,2.477
-1.797,-19.928,-13.17,-4.289,-2.409,4.128
-0.792,-19.928,-11.459,-2.772,-4.354,4.357
3.047,-19.928,-13.581,-0.982,-3.101,4.357
2.347,-13.83,-12.542,-0.969,0.475,4.173
3.169,-7.679,-9.323,-1.569,-0.717,2.571
4.612,-4.708,-9.696,0.114,-1.576,-0.129
3.548,-8.266,-10.505,0.0,-0.426,-2.971
3.784,-19.928,-11.516,-0.233,0.597,-4.374
-3.886,-19.928,-13.173,1.122,1.339,-4.374
-6.465,-19.928,-8.958,0.639,1.536,-4.374
-9.056,-11.45,-16.685,0.255,0.936,-1.793
-7.096,-14.293,-5.121,0.291,-2.778,-0.115
-4.985,-14.196,-11.114,3.466,-2.455,2.051
0.381,-19.928,-16.322,4.441,-2.579,3.538
-2.799,-19.307,-24.79,2.515,-3.941,4.076
0.639,-19.928,-19.059,-0.566,-1.421,4.357
3.831,-19.928,-16.013,-2.922,-0.8,4.357
3.895,-14.876,-12.025,-3.974,-0.697,4.357
5.803,-7.015,-7.933,-2.833,-1.646,1.959
6.781,-5.681,-7.407,-2.327,-2.054,-1.422
5.886,-14.509,-7.111,-2.454,-1.125,-4.374
0.709,-19.928,-7.765,-2.747,1.427,-4.374
-7.427,-19.928,-5.87,-1.028,0.0,-4.374
-6.522,-12.603,-14.037,4.426,4.062,0.0
-10.507,-7.781,-15.189,0.229,0.355,1.64
-2.356,-19.928,-13.45,-3.634,-1.991,4.357
0.565,-19.928,-13.173,-2.514,-3.301,4.357
2.953,-19.928,-11.443,-2.038,-2.677,4.357
8.467,-8.575,-9.013,-1.316,-1.37,4.121
7.028,-4.653,-9.194,0.46,-1.002,-0.876
3.238,-10.266,-8.453,-0.104,0.425,-3.77
3.042,-19.928,-10.862,0.718,1.707,-4.374
0.918,-19.928,-15.889,3.299,4.376,-4.374
-9.376,-19.928,-18.489,3.168,3.573,-4.374
-9.696,-11.762,-14.886,0.566,-2.303,1.11
-3.095,-10.57,-14.654,0.259,-0.351,1.055
-4.306,-13.811,-12.473,-2.241,1.773,2.703
-2.815,-19.928,-12.135,-3.711,-0.785,4.357
-0.634,-19.928,-10.64,-3.376,-4.354,4.357
6.895,-17.219,-8.854,1.103,-3.002,4.357
7.254,-8.29,-7.103,1.072,0.14,1.474
7.868,-11.928,-7.848,2.543,1.022,-2.071
3.16,-18.212,-13.925,4.441,3.872,-4.356
3.385,-19.928,-19.447,4.441,4.376,-4.374
1.557,-19.928,-21.262,4.34,4.376,-4.374
-2.363,-18.293,-17.699,2.609,4.376,-4.374
-2.183,-13.349,-13.876,0.376,-1.129,-3.166
0.0,-11.837,-15.762,-0.367,0.737,-2.46
-2.599,-14.985,-14.529,-2.231,4.376,-2.907
-3.35,-17.41,-15.326,-2.001,-0.376,3.722
-0.693,-19.297,-11.145,-2.896,-1.872,4.247
0.0,-19.928,-12.711,-1.535,-4.036,4.357
3.118,-19.928,-14.531,-0.28,-2.583,4.357
1.486,-11.699,-12.024,-1.245,-0.249,3.467
1.423,-6.902,-10.273,-1.725,-0.631,2.813
6.881,-4.081,-6.557,-0.503,-1.056,0.612
5.325,-8.191,-9.388,0.222,-0.44,-3.186
6.586,-19.928,-12.051,0.662,1.814,-4.374
-2.549,-19.928,-16.952,2.148,4.376,-4.374
-20.647,-15.548,-13.997,3.692,0.43,-4.374
1.304,-14.1,-10.15,-3.414,-3.377,2.262
-2.505,-10.504,-10.818,-0.185,-1.802,-3.272
-6.016,-12.602,-6.023,-0.327,-1.081,-1.507
-6.576,-13.363,-11.875,3.546,-1.965,2.126
1.343,-19.928,-15.221,4.092,0.0,4.166
-3.143,-19.928,-21.036,1.173,0.0,3.738
6.611,-19.928,-18.547,-2.365,-0.919,4.357
6.385,-19.699,-15.657,-4.289,0.27,4.357
6.956,-11.017,-9.207,-3.576,-1.162,2.866
6.044,-4.44,-11.658,-0.833,-2.083,-0.622
5.217,-9.345,-10.531,-1.506,-1.575,-4.023
2.751,-19.928,-9.649,-3.885,-3.087,-4.374
-1.43,-19.928,-6.874,-1.716,-2.264,-4.374
-5.313,-19.928,-8.211,1.77,-1.003,-4.374
-0.756,-19.928,-14.018,-2.357,-1.885,4.357
1.205,-19.928,-13.648,-3.377,-1.587,4.357
1.36,-18.701,-11.674,-1.852,-2.405,4.357
