accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-0.849,-9.263,-8.156,0.0,0.0,0.0
-0.833,-9.274,-8.187,0.0,0.0,0.0
-0.916,-9.285,-8.038,0.0,0.0,0.0
-0.765,-9.286,-7.98,0.0,0.0,0.0
-0.951,-9.261,-8.196,0.0,0.0,0.0
-0.823,-9.284,-8.161,0.0,0.0,0.0
-1.009,-9.322,-8.07,0.0,0.0,0.0
-0.978,-9.279,-8.185,0.0,0.0,0.0
-1.364,-9.239,-8.171,0.0,-0.211,0.0
-2.827,-9.601,-8.011,0.0,-0.198,0.0
-5.01,-9.621,-9.321,0.0,-0.613,0.752
-5.654,-10.179,-12.211,-0.303,0.118,1.291
-5.246,-11.146,-13.184,-1.066,0.0,1.728
-3.649,-12.433,-15.141,-2.485,0.0,1.731
-5.616,-15.1,-14.783,-3.612,0.515,0.894
-4.19,-12.872,-14.73,-4.294,0.564,1.564
-0.905,-6.645,-6.118,-3.854,0.719,1.36
-1.938,-2.308,-3.229,-0.863,1.649,0.0
-0.4,-4.056,-11.234,4.369,1.578,-0.739
-1.463,-15.512,-30.895,4.436,0.0,0.393
-3.091,-17.784,-30.895,-4.294,0.625,-1.329
-6.71,-14.122,-13.197,-4.294,-4.184,0.403
0.0,-6.12,5.013,-1.838,-1.365,0.371
0.28,-3.452,-2.452,3.017,-0.479,0.394
-0.37,-5.994,-8.497,4.436,0.937,-0.439
1.222,-9.264,-8.096,0.108,-0.103,0.0
0.723,-9.278,-8.106,0.136,0.0,0.0
0.809,-9.321,-8.294,0.122,0.0,0.0
0.607,-9.335,-8.487,0.0,0.0,0.0
-0.789,-9.123,-8.266,-0.233,0.247,-0.208
-3.929,-11.823,-8.551,-0.121,2.335,-0.526
-10.998,-13.514,-15.456,-0.568,3.227,1.266
-0.377,-19.298,-17.234,-3.648,0.45,4.075
1.16,-19.298,-15.49,-4.294,1.311,1.753
-0.83,-14.357,-15.138,-4.294,-1.153,1.04
1.351,-15.124,8.33,0.316,-4.336,-0.183
-1.331,-0.26,-12.077,0.172,2.181,0.209
-2.202,-4.541,-13.356,4.436,2.477,-1.51
-3.729,-8.557,-19.256,4.436,2.421,-0.674
-3.084,-14.499,-24.091,3.657,0.342,-0.292
-2.635,-14.795,-25.533,-1.219,-0.392,-0.115
-3.587,-13.696,-21.263,-4.294,-0.217,0.0
-4.763,-7.19,-15.925,-4.294,-1.812,0.0
-6.988,1.1,-26.942,4.436,-1.444,0.0
-2.023,-3.279,-8.665,0.434,0.574,-0.141
-2.733,-4.476,-11.368,2.573,-0.175,-0.281
-1.384,-9.0,-11.47,3.632,-2.756,-0.418
-3.05,-14.739,-12.506,4.07,-4.221,-3.252
-7.392,-18.068,-10.362,1.444,-3.863,-4.373
-5.269,-15.726,-9.274,0.195,-2.837,-3.324
0.967,-9.25,-7.826,0.0,0.224,0.0
0.698,-9.079,-8.33,0.0,0.136,0.0
0.394,-9.42,-8.252,0.0,-0.14,0.134
-1.139,-9.829,-6.502,-0.597,0.582,-0.987
-11.439,-15.817,-8.551,1.62,4.375,-1.297
-7.07,-18.59,-14.807,-0.914,2.097,4.335
-2.038,-19.298,-13.977,-4.294,3.158,3.879
-1.139,-19.298,-12.771,-4.294,1.989,2.596
-1.481,-12.303,-10.583,-4.294,-0.816,2.059
1.678,0.884,-6.641,0.683,-2.569,0.0
-1.947,-1.674,-7.962,3.121,3.198,-1.363
-2.701,-8.916,-23.63,4.436,4.375,-1.551
-1.839,-10.064,-27.406,1.535,-0.239,1.369
-1.712,-9.44,-24.1,-1.456,0.36,-1.395
-4.128,-8.392,-24.087,-4.096,-0.642,-0.947
