accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-2.551,-9.48,-8.555,0.0,0.0,0.0
-2.708,-9.457,-8.629,0.0,0.0,0.0
-2.756,-9.442,-8.693,0.0,0.0,0.0
-2.686,-9.439,-8.675,0.0,0.0,0.0
-2.781,-9.392,-8.652,0.0,0.0,0.0
-2.888,-9.49,-8.784,0.0,0.0,0.0
-3.046,-9.564,-9.015,0.0,0.0,0.0
-5.356,-8.81,-8.066,-0.217,-0.423,0.0
-8.043,-10.809,-2.791,-0.403,-1.541,0.502
-12.354,-15.91,0.247,0.534,1.169,2.112
-9.932,-18.176,-4.032,1.783,1.217,3.427
-6.35,-17.685,-7.367,2.606,0.191,3.834
-7.299,-12.57,-7.464,2.615,-0.177,3.212
-6.274,-7.945,-8.414,2.454,0.0,2.591
-5.004,-4.852,-9.306,2.539,0.0,2.386
-5.85,-1.177,-7.399,2.328,-0.319,1.88
-5.784,0.847,-7.632,2.58,-1.401,1.224
-6.553,1.227,-8.264,2.955,-1.582,0.948
-6.476,1.511,-10.066,3.143,-1.945,0.516
-6.852,2.162,-11.975,3.146,-1.553,0.39
-6.413,2.654,-14.437,2.831,-1.397,0.311
-8.056,2.691,-16.542,2.848,-1.625,0.0
-7.48,3.606,-18.708,2.349,-0.638,0.352
-6.626,4.8,-21.083,2.036,-0.437,0.315
-5.815,5.745,-23.032,0.932,-0.136,0.295
-0.246,0.62,-19.35,3.094,-0.377,1.356
-1.477,1.776,-26.68,2.197,-0.241,0.29
-3.117,1.846,-25.553,0.632,-0.316,0.0
-3.491,1.873,-21.846,-0.175,-0.279,-0.171
-3.222,1.927,-18.925,-0.297,-0.424,-0.134
-3.564,1.796,-16.906,-0.107,-0.699,-0.767
-4.054,1.136,-16.902,-0.436,-3.383,-1.027
-2.219,-2.238,-15.135,-1.53,-4.354,-1.933
-3.028,-3.978,-12.796,-2.067,-3.442,-1.994
-5.929,-6.619,-9.733,-2.537,-1.693,-3.09
-9.745,-9.278,-9.692,-2.403,-1.011,-3.676
-8.411,-12.475,-9.365,-1.699,-1.728,-2.931
-5.087,-15.196,-8.076,-2.289,-4.354,-2.727
-2.77,-15.721,-5.661,-2.343,-3.504,-2.037
-3.468,-12.183,-7.18,-0.552,-3.498,-0.411
0.4,-11.053,-9.015,0.346,-4.115,0.542
0.247,-10.725,-9.263,-0.354,-2.383,-0.271
-0.896,-9.918,-8.661,-0.475,-1.834,0.0
-1.048,-10.449,-8.98,0.139,-2.233,0.283
0.106,-9.608,-9.293,0.0,-1.137,0.201
-0.859,-9.48,-9.284,0.0,0.35,-0.148
-1.995,-9.808,-9.563,0.0,0.527,-0.31
-2.138,-9.7,-9.404,0.0,0.34,0.0
-2.212,-9.648,-9.179,0.0,0.199,0.0
-1.95,-9.603,-9.014,0.0,0.227,0.0
-1.768,-9.606,-9.219,0.0,0.0,0.0
-1.785,-9.697,-9.146,0.0,0.0,0.0
-1.744,-9.657,-9.13,0.0,0.0,0.0
-1.764,-9.627,-9.219,0.0,0.0,0.0
-1.807,-9.611,-9.239,0.0,0.0,0.0
-1.97,-9.662,-9.279,0.0,-0.108,0.0
-3.795,-9.572,-9.402,0.0,-0.472,-0.107
-3.058,-10.387,-9.275,-0.465,-0.814,0.132
-8.328,-13.829,-8.659,-2.276,4.016,-0.696
-17.305,-19.568,-12.215,-1.869,2.333,3.112
-9.544,-19.568,-12.969,-1.124,0.269,4.357
-6.441,-19.568,-11.847,-0.362,-0.532,4.357
-5.691,-14.215,-11.792,0.419,-1.235,4.357
-4.707,-10.714,-12.497,1.854,-1.515,4.28
-4.795,-6.145,-12.105,2.26,-0.971,3.629
-3.688,-2.621,-12.926,2.203,-1.421,3.131
-4.46,-0.431,-12.898,2.345,-1.929,2.385
-4.998,0.479,-13.748,2.509,-2.262,1.845
-5.438,0.0,-15.438,3.053,-1.801,1.695
-3.179,0.242,-18.0,3.239,-0.587,1.908
-0.386,0.209,-20.162,3.137,-0.583,1.479
-0.456,1.136,-23.306,2.406,0.0,0.79
-1.478,1.914,-27.099,1.648,-0.101,0.407
-2.168,2.161,-25.188,0.572,-0.364,0.288
-2.29,1.854,-22.089,-0.13,-0.491,0.0
-2.016,-9.572,-9.349,0.0,0.0,0.0
-2.012,-9.608,-9.157,0.0,0.0,0.0
-2.262,-9.669,-8.801,0.0,0.0,0.0
-1.976,-9.63,-8.902,0.0,0.0,0.0
-1.939,-9.657,-9.053,0.0,0.0,0.0
-2.117,-9.638,-9.002,0.0,-0.147,0.0
-2.262,-9.65,-8.789,0.0,-0.244,0.0
-1.42,-9.788,-8.965,0.0,0.194,-0.19
-7.976,-11.98,-6.359,-0.714,2.594,-1.303
-16.046,-16.627,-9.595,-1.154,2.716,2.379
-9.258,-19.568,-6.103,-1.534,1.92,4.357
-6.914,-18.603,-9.266,0.0,1.216,4.357
-7.366,-15.498,-10.69,0.947,0.253,4.357
-6.085,-11.017,-11.673,0.853,0.217,4.239
-5.366,-7.292,-12.458,1.225,-0.651,3.849
-5.627,-4.39,-11.586,1.508,-0.983,3.34
-5.63,-2.207,-12.493,1.943,-1.737,2.732
-4.861,-0.839,-13.38,2.24,-1.427,2.434
-4.412,0.437,-16.047,2.73,-1.763,1.988
-3.998,0.323,-15.65,2.643,-0.835,1.918
-2.746,0.0,-17.4,2.761,-0.553,1.662
-0.396,-0.404,-22.157,3.629,-0.322,1.556
-1.345,0.846,-26.165,2.163,-0.139,0.775
-1.335,1.584,-26.667,0.938,-0.347,0.311
-2.296,1.794,-23.479,0.0,-0.335,0.0
-1.823,-9.73,-8.494,0.146,0.427,-0.348
-2.503,-9.612,-10.095,0.228,1.721,0.0
-3.338,-9.655,-10.028,0.0,1.092,0.0
-3.24,-9.735,-9.385,0.0,0.222,0.0
-2.181,-9.547,-9.043,0.0,-0.444,0.0
-1.98,-9.593,-9.351,0.0,0.0,0.0
-2.726,-9.629,-9.586,0.0,0.0,0.0
-2.688,-9.538,-9.891,-0.352,0.208,-0.159
-5.595,-11.835,-6.585,-1.249,1.303,0.0
-15.026,-16.678,-8.905,-0.725,2.298,0.657
-9.963,-19.568,-9.865,-0.276,0.805,4.282
-6.152,-19.568,-10.387,0.658,1.298,4.357
-6.028,-16.891,-10.852,0.673,0.983,4.357
-6.818,-12.979,-11.685,1.021,0.41,4.357
-5.065,-9.309,-11.25,0.977,0.0,4.357
-4.702,-6.299,-12.251,1.787,-1.13,3.376
-6.228,-5.73,-14.046,2.879,-2.841,2.58
-7.923,-5.303,-17.676,3.729,-2.145,2.739
-4.57,-4.507,-19.154,3.767,-2.359,2.66
-2.387,-3.208,-18.973,3.407,-0.639,2.282
-0.571,-2.399,-23.025,3.655,-0.297,2.005
-0.948,-1.45,-21.512,2.407,-0.433,1.403
-0.401,-0.959,-23.888,2.288,0.0,1.036
-1.53,-0.435,-23.53,1.333,-0.155,0.601
-1.692,-0.438,-23.789,0.88,0.0,0.339
-1.852,-9.63,-8.629,-0.118,-0.214,-0.453
