accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-0.74,-9.224,-8.254,0.0,0.0,0.0
-0.65,-9.288,-8.308,0.0,0.0,0.0
-0.784,-9.287,-8.208,0.0,0.0,0.0
-0.752,-9.285,-8.212,0.0,0.0,0.0
-0.716,-9.361,-8.262,0.0,-0.186,0.0
-1.552,-9.141,-7.626,0.0,-0.863,0.0
-1.208,-9.552,-8.483,0.203,-0.927,0.176
-0.912,-9.257,-8.105,0.0,-0.474,0.292
-0.332,-9.404,-7.618,0.117,-0.72,0.23
-4.373,-9.463,-8.631,0.148,-1.351,0.184
-7.821,-11.905,-11.961,-0.568,-3.135,2.78
-4.251,-12.615,-14.018,-2.809,-0.859,3.388
-18.043,-17.698,-9.216,-4.294,1.005,1.885
-12.384,-15.953,-11.892,-1.873,-3.439,3.023
-7.194,-9.416,-15.016,-0.129,-2.534,3.21
-6.73,-4.357,-17.637,0.441,-1.657,2.145
-8.686,-5.046,-16.985,0.132,-1.719,3.719
1.258,-3.655,-13.532,-1.671,-1.025,4.357
3.819,0.924,-6.729,-1.577,-1.06,2.413
0.843,3.697,-3.274,-0.27,-0.971,0.341
-1.163,3.914,-3.829,0.307,-0.557,-0.897
-2.598,3.235,-5.35,0.734,0.0,-1.516
-1.676,1.361,-7.209,1.038,0.322,-1.895
-1.614,-0.722,-10.145,1.86,0.0,-3.016
-3.819,-1.46,-11.794,0.794,0.153,-3.336
-0.79,-9.303,-8.766,0.0,-0.304,0.0
-1.013,-9.598,-8.5,0.147,-0.735,0.0
-14.266,-14.225,-1.259,1.654,-4.355,1.634
-3.97,-14.99,-18.881,3.224,-4.355,4.357
-11.461,-10.669,-12.851,-1.877,4.375,3.53
-2.8,-12.955,-12.608,-3.591,1.971,4.357
-3.82,-7.335,-7.105,-2.097,0.853,1.572
-3.902,-4.475,-8.863,-0.693,0.926,0.551
-7.921,-3.634,-12.117,0.0,0.0,0.0
-18.925,-7.039,-14.3,-0.139,0.231,-0.73
-20.381,-9.291,-15.396,-1.417,-1.441,0.0
-16.859,-3.819,-10.566,0.712,-3.018,1.532
-7.122,-2.62,-15.974,2.015,-2.659,2.451
-1.102,-3.388,-14.077,1.857,-3.026,2.202
0.573,-0.288,-11.278,0.761,-1.295,2.22
0.256,2.106,-6.869,-0.464,-0.499,1.757
0.0,2.973,-4.092,-0.36,0.0,0.939
0.0,2.405,-3.029,0.732,-0.311,-0.212
0.0,1.187,-3.47,0.526,-1.08,-2.071
-1.701,0.243,-6.764,2.367,-2.119,-3.467
-2.738,-1.617,-11.384,2.004,-0.364,-4.373
-6.489,-5.996,-12.017,0.28,1.542,-4.373
-8.621,-15.077,-11.598,0.419,2.137,-4.373
-12.381,-19.298,-7.852,-0.139,1.128,-4.373
-7.098,-19.298,-5.878,-0.283,-0.622,-4.373
0.446,-9.115,-7.553,0.0,0.0,0.0
0.226,-9.061,-7.531,0.0,0.0,0.0
0.153,-9.158,-7.547,0.0,-0.239,0.0
0.163,-8.916,-7.541,0.0,-0.156,0.0
-1.246,-9.219,-7.149,0.0,-0.705,-0.228
-13.293,-12.219,-10.888,1.617,-4.355,3.064
-1.577,-18.24,-17.44,-3.463,-2.659,4.357
-11.373,-16.091,-11.552,-4.294,-0.101,4.357
-3.481,-11.794,-14.921,-4.294,-0.311,3.501
-0.532,-6.328,-8.695,-2.604,-0.678,1.212
-4.688,-4.361,-9.466,-0.671,0.597,0.0
-20.381,-8.042,-16.367,-0.878,1.15,-0.796
-20.381,-8.23,-15.704,-1.151,-0.94,0.865
-13.411,-2.722,-17.096,0.444,-3.24,2.522
-2.564,-2.376,-18.527,0.535,-3.483,3.299
2.599,-1.524,-13.629,1.306,-2.992,2.376
1.955,2.046,-10.857,0.0,-1.397,1.447
-0.152,3.386,-5.022,-0.203,-0.751,0.42
-1.388,2.898,-2.641,0.263,-0.551,-0.602
-1.541,1.937,-4.877,1.261,-0.8,-1.437
-1.175,0.73,-9.226,2.373,-1.317,-2.542
-2.801,0.995,-12.7,1.781,-0.641,-3.226
-5.137,-2.288,-10.999,-0.399,1.424,-4.373
-13.979,-9.066,-10.522,1.116,1.465,-4.373
-15.487,-16.066,-7.347,0.0,0.563,-4.373
-1.413,-9.263,-8.071,0.0,0.0,0.0
-1.511,-9.218,-8.07,0.0,-0.297,0.0
-5.624,-10.268,-5.842,0.224,-2.406,0.0
-12.007,-13.66,-6.514,2.321,-4.355,3.037
-8.745,-10.046,-8.542,0.298,1.218,3.271
-11.635,-15.003,-16.755,-2.543,1.454,4.357
-1.898,-14.102,-10.51,-4.294,1.515,4.357
-4.111,-9.002,-8.537,-2.523,0.726,1.235
-9.594,-6.832,-10.287,-0.92,1.217,-0.16
-20.381,-5.629,-15.297,-1.273,0.235,-0.166
-20.381,-4.065,-22.386,-0.895,-1.395,2.213
-9.888,-1.199,-18.703,-0.76,-4.355,2.713
-0.885,-1.209,-15.29,0.715,-3.592,2.782
2.316,-0.842,-11.768,1.467,-3.048,2.025
1.11,2.471,-8.469,0.227,-1.73,1.016
-0.292,3.767,-6.015,0.0,-0.951,0.492
-2.336,3.819,-4.359,-0.158,-0.632,0.487
-2.463,3.686,-3.297,0.0,-0.624,0.284
-0.982,3.569,-4.106,0.819,-0.992,0.144
0.739,4.349,-6.477,1.65,-2.249,-1.116
2.738,3.806,-6.747,1.925,-2.285,-3.084
0.0,-0.936,-7.583,2.941,1.638,-4.373
-9.346,-9.093,-14.779,4.436,2.98,-4.373
-16.739,-13.643,-16.69,4.436,0.512,-4.373
-19.792,-18.531,-12.421,3.106,-0.191,-4.373
-10.245,-14.442,-9.361,0.45,-3.648,-2.799
-1.811,-9.269,-7.952,-0.252,-1.287,0.122
-2.031,-9.442,-8.137,-0.111,-1.737,0.256
