accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-2.0,-9.638,-7.533,0.0,-0.206,-0.267
-2.333,-9.461,-7.513,0.0,0.0,-0.22
-2.565,-9.403,-7.567,0.143,0.477,0.0
-2.671,-10.121,-7.094,0.0,0.557,0.449
-3.597,-10.469,-6.747,0.0,0.428,0.881
-4.483,-13.136,-5.29,0.0,1.442,1.882
-6.604,-13.769,-4.79,0.627,3.123,2.748
-5.195,-10.475,-7.64,0.665,4.221,3.567
-2.718,-8.379,-6.005,1.388,2.981,3.507
1.858,-5.994,-9.533,2.534,2.945,3.013
0.0,-6.981,-9.376,3.284,4.376,2.291
1.383,-12.097,-12.184,4.441,4.376,4.345
3.641,-19.555,-23.227,4.441,4.376,4.357
8.886,-19.568,-28.596,4.441,4.376,4.357
4.693,-12.376,-24.956,-2.281,0.453,0.334
1.451,-13.298,-24.969,-2.08,1.052,0.141
-1.675,-19.568,-25.917,-4.157,0.546,-0.13
-10.397,-19.568,-28.551,-4.289,1.93,0.255
-13.458,-7.469,-10.099,-3.909,4.376,0.0
-1.014,-3.916,-19.355,1.228,2.901,-1.989
-0.552,-11.823,-23.624,-3.121,-0.917,-4.373
2.592,-19.568,-4.736,-4.289,-4.354,-4.373
-1.494,-19.568,8.186,-4.289,-4.354,-4.373
7.388,-1.892,7.001,-0.875,-4.354,3.595
0.0,-2.127,7.566,0.0,2.881,-1.485
-2.135,-9.579,-8.75,0.393,0.0,0.0
-2.509,-10.247,-8.476,0.421,0.391,0.0
-3.499,-12.499,-8.577,0.815,0.93,0.298
-1.937,-14.582,-7.141,0.95,2.534,1.312
0.958,-14.198,-7.046,3.219,4.376,1.558
6.385,-13.981,-11.373,4.441,4.376,2.315
4.343,-11.555,-12.558,4.441,4.376,1.514
5.418,-10.738,-11.729,4.441,4.376,1.663
7.771,-16.853,-9.233,4.441,4.376,2.423
12.599,-19.568,-21.75,4.441,4.376,3.062
2.443,-15.563,-28.513,2.76,4.057,0.0
-2.444,-17.018,-16.392,-1.861,1.674,0.469
-4.085,-11.945,-22.571,-0.224,3.3,0.248
-2.031,-19.568,-28.44,-2.831,1.988,-1.584
-5.623,-19.568,-17.978,-4.289,2.046,-1.154
-5.821,-18.695,-15.424,-4.289,3.117,-1.77
