accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-0.669,-10.138,-10.712,0.0,0.0,0.0
-0.76,-10.161,-10.749,0.0,0.0,0.0
-0.611,-10.11,-10.76,0.0,0.0,0.0
-0.695,-10.153,-10.889,0.0,0.0,0.0
-0.704,-10.115,-10.821,0.0,0.0,0.0
-0.724,-10.07,-10.998,0.0,0.0,0.0
-0.628,-9.989,-11.11,0.0,0.0,0.0
-1.219,-10.893,-10.341,0.0,-0.151,0.0
-3.241,-13.477,-4.502,0.0,-2.154,0.437
4.59,-17.013,-0.927,1.286,-0.32,1.998
0.747,-12.077,-6.066,1.491,-0.54,0.303
-4.705,-5.979,-10.444,1.663,1.316,-0.594
-9.441,8.425,-18.864,0.688,1.857,0.549
-10.057,8.959,-19.524,0.743,1.793,0.582
-3.047,-20.015,-12.637,-4.291,-4.354,0.613
18.001,-20.015,8.252,4.44,2.018,0.468
24.218,-26.236,14.469,-30.591,4.486,0.197
-21.224,5.136,-30.973,-30.591,23.382,-13.691
-10.864,-20.015,-30.973,-4.291,-4.01,-1.327
-7.335,-20.015,-30.973,4.44,0.512,-2.546
-17.937,-0.189,28.342,0.0,0.0,0.0
-7.068,-3.399,-15.165,2.054,-1.778,-1.353
-4.164,-4.267,-11.44,-1.986,1.376,-1.369
-2.766,-8.2,-6.231,-1.45,1.899,-0.522
-2.116,-8.135,-4.714,-2.221,1.133,-0.1
-0.147,-10.086,-10.78,0.0,0.0,0.0
-0.2,-10.116,-10.736,0.0,0.0,0.0
-0.131,-10.17,-10.863,0.0,0.0,0.0
-0.274,-10.089,-10.774,0.0,0.0,0.0
-0.303,-10.145,-10.769,0.0,0.0,0.0
-0.244,-10.139,-10.717,0.0,0.0,0.0
-0.27,-10.084,-10.784,0.0,0.0,0.0
-0.461,-10.062,-10.583,0.0,0.0,0.0
-2.317,-10.953,-9.203,-0.464,-0.425,0.0
-0.147,-16.511,-4.156,-1.577,-1.009,2.069
-1.305,-16.421,-5.466,3.064,1.113,1.265
0.389,-9.629,-11.555,2.2,-1.372,0.0
-5.358,-5.108,-10.615,1.573,0.827,0.478
-5.251,1.287,-16.675,0.125,0.0,0.507
-8.506,2.157,-27.439,-1.723,0.844,1.914
-1.662,-12.197,-30.973,-4.291,0.668,2.291
-7.166,-20.015,-1.188,-4.291,-4.354,-1.583
7.065,-20.015,8.252,4.207,1.908,-0.222
2.265,-26.236,14.469,-32.45,4.486,0.197
-27.445,24.545,-11.364,0.0,0.0,0.0
1.259,-20.015,8.252,-2.674,-1.891,2.587
3.396,-20.015,-21.519,4.44,0.0,-2.751
-13.499,-19.186,-30.973,4.44,-1.982,-4.373
-10.015,-6.24,-21.188,3.292,-1.133,-1.64
-3.902,-2.709,-15.572,-1.551,0.609,-1.103
-0.699,-10.15,-11.077,0.0,0.0,0.0
-0.505,-10.083,-11.146,0.0,0.0,0.0
-0.592,-10.107,-11.067,0.0,0.0,0.0
-0.55,-10.041,-11.109,0.0,0.0,0.0
-0.62,-10.198,-11.036,0.0,0.0,0.0
-0.565,-10.047,-10.973,0.0,0.0,0.0
-0.649,-10.05,-10.981,0.0,0.0,0.0
-1.203,-10.802,-10.676,0.0,-0.31,0.0
-2.663,-13.631,-5.637,-0.489,-1.825,0.778
1.538,-16.43,-1.56,3.357,-0.478,0.86
