accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
0.42,-9.376,-9.396,0.0,0.0,0.0,-0.642,-9.578,-11.223,0.0,0.0,0.0
0.672,-9.392,-9.262,0.0,0.0,0.0,-0.614,-9.578,-11.216,0.0,0.0,0.0
0.595,-9.419,-9.377,0.0,0.0,0.0,-0.645,-9.597,-11.206,0.0,0.0,0.0
0.554,-9.313,-9.382,0.0,0.0,0.0,-0.635,-9.605,-11.206,0.0,0.0,0.0
0.552,-9.409,-9.365,0.0,0.0,0.0,-0.635,-9.615,-11.214,0.0,0.0,0.0
0.56,-9.349,-9.231,0.0,0.0,0.0,-0.63,-9.572,-11.186,0.0,0.0,0.0
0.554,-9.437,-9.315,0.0,0.0,0.0,-0.612,-9.619,-11.192,0.0,0.0,0.0
0.463,-9.367,-9.132,0.0,0.0,0.0,-0.598,-9.637,-11.14,0.0,0.0,0.0
0.218,-9.695,-8.951,0.0,0.253,0.0,-1.173,-9.628,-11.15,0.0,0.0,-0.112
-0.368,-10.245,-6.179,0.0,-1.093,0.365,-1.229,-10.764,-11.012,0.0,0.319,0.0
0.372,-13.968,-3.686,1.611,-2.435,0.305,-3.32,-12.535,-11.08,0.105,0.52,0.291
-0.758,-11.181,-5.299,3.897,-2.396,0.35,-1.234,-7.292,-9.706,0.303,0.0,0.156
0.602,-6.322,-7.169,4.436,-0.732,1.085,3.026,-7.379,-10.724,0.218,0.127,0.0
-1.419,-5.194,-9.649,2.392,-0.306,0.354,-1.004,-9.729,-11.681,0.0,0.604,0.147
-0.736,-7.465,-4.466,0.59,-0.273,0.551,-2.673,-10.59,-10.311,0.0,0.111,0.0
-1.018,-4.852,-3.665,0.495,-0.161,0.552,-0.591,-9.273,-10.059,0.107,-0.406,-0.157
-2.858,-4.223,0.454,0.354,-0.559,1.134,1.031,-9.117,-11.751,0.0,-0.325,-0.138
-5.096,-3.232,1.094,1.281,-0.253,2.032,-0.579,-9.474,-10.008,-0.121,0.0,-0.161
