accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
0.147,-9.618,-8.78,0.0,0.0,0.0,-1.011,-9.835,-10.904,0.0,0.0,0.0
0.136,-9.565,-8.801,0.0,0.0,0.0,-1.069,-9.823,-10.877,0.0,0.0,0.0
0.197,-9.63,-8.805,0.0,0.0,0.0,-1.013,-9.826,-10.889,0.0,0.0,0.0
0.0,-9.589,-8.881,0.0,0.0,0.0,-1.105,-9.812,-10.878,0.0,0.0,0.0
0.328,-9.634,-8.728,0.0,0.0,0.0,-1.018,-9.759,-10.865,0.0,0.0,0.0
0.141,-9.601,-8.689,0.0,0.0,0.0,-1.097,-9.826,-10.855,0.0,0.0,0.0
0.256,-9.612,-8.839,0.0,0.0,0.0,-1.043,-9.815,-10.847,0.0,0.0,0.0
0.288,-9.509,-8.88,0.0,0.0,0.0,-1.122,-9.817,-10.825,0.0,0.0,0.0
-1.647,-10.45,-5.652,0.266,-0.207,-0.184,-1.558,-9.757,-10.759,0.0,0.0,0.0
-19.888,-19.54,-11.897,1.232,-0.379,1.152,-1.117,-9.876,-11.027,0.0,-0.105,0.0
-15.019,-19.54,-1.047,-3.002,-2.117,4.393,-1.043,-10.039,-11.248,0.162,0.142,0.108
19.209,-19.54,-2.893,4.43,-3.747,4.393,-1.403,-10.029,-10.835,0.27,0.592,0.0
19.209,-19.54,-24.085,4.43,-4.354,4.135,-1.366,-9.379,-10.148,0.101,0.0,-0.158
16.926,-19.54,-30.079,4.43,-4.354,-4.337,-0.988,-10.003,-10.666,0.0,0.115,0.0
-20.016,-19.54,-26.933,-4.301,-4.354,-4.337,-1.302,-9.289,-9.805,0.0,-0.147,0.293
-11.734,-19.54,-13.186,-4.301,-4.354,4.272,-1.797,-10.356,-10.276,0.0,-0.299,0.0
11.649,-19.54,-6.455,-4.301,-4.354,4.393,-1.352,-9.596,-11.057,0.0,-0.445,-0.205
19.209,-19.54,-14.49,4.43,-4.354,4.393,-0.633,-9.875,-9.69,0.0,0.455,-0.205
19.209,-19.54,-23.373,4.43,-4.354,-4.337,-0.33,-9.358,-10.728,0.0,0.0,-0.146
4.829,-19.54,-30.079,4.43,-2.638,-4.337,-0.361,-10.039,-10.478,0.0,0.0,0.138
-20.016,-19.54,1.107,-4.301,-4.354,-4.337,-1.316,-10.014,-10.161,0.0,-0.107,0.172
-2.701,-10.42,-12.048,-4.301,-2.215,4.107,-1.26,-9.739,-10.314,0.0,-0.143,0.0
0.106,-13.462,1.359,-1.958,-4.354,-1.939,-0.939,-10.04,-10.461,0.0,-0.111,-0.135
