accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-0.908,-9.327,-8.333,0.0,0.0,0.0,0.147,0.131,-0.13,0.0,0.0,0.0
-0.8,-9.328,-8.353,0.0,0.0,0.0,0.153,0.131,-0.13,0.0,0.0,0.0
-0.778,-9.301,-8.393,0.0,0.0,0.0,0.159,0.123,-0.114,0.0,0.0,0.0
-0.881,-9.322,-8.234,0.0,0.0,0.0,0.154,0.125,-0.11,0.0,0.0,0.0
-0.72,-9.345,-8.35,0.0,0.0,0.0,0.181,0.125,-0.117,0.0,0.0,0.0
-0.808,-9.305,-8.248,0.0,0.0,0.0,0.198,0.138,-0.13,0.0,0.0,0.0
-0.83,-9.322,-8.26,0.0,0.0,0.0,0.168,0.129,-0.122,0.0,0.0,0.0
-0.941,-9.366,-8.207,0.0,0.0,0.0,0.123,0.0,-0.135,0.0,0.0,0.0
-0.742,-9.55,-7.777,0.0,0.0,0.0,0.185,0.0,-0.427,0.0,0.0,0.0
0.0,-9.942,-6.969,0.278,0.184,0.0,0.132,-0.809,0.185,0.258,0.695,-0.286
0.436,-9.029,-7.535,0.271,0.764,0.0,-0.444,-2.273,2.776,0.463,1.261,-0.541
-0.14,-8.91,-6.879,0.191,1.295,0.0,2.294,1.12,1.565,0.132,0.934,-0.454
-0.212,-8.179,-8.457,0.27,2.586,0.224,-0.407,2.661,-0.394,-0.336,2.536,0.758
1.369,-8.483,-9.697,0.336,1.935,-0.352,0.599,1.587,0.0,-0.913,2.816,1.385
-0.582,-8.57,-10.844,-0.113,2.151,-1.326,0.751,-0.226,2.41,-0.792,1.718,1.031
-1.3,-11.229,-9.831,-0.525,2.064,-1.425,-3.329,-1.403,1.56,0.0,0.25,-0.507
-2.746,-10.216,-8.968,-0.479,2.173,-1.275,1.358,0.0,-0.567,-0.228,0.689,-0.319
-2.47,-10.466,-8.787,-0.48,0.836,-1.007,1.933,0.271,-1.153,-0.254,0.149,-0.245
-4.134,-10.075,-7.474,-0.345,0.603,-0.756,1.265,0.141,-0.335,-0.12,0.0,0.0
-3.687,-9.48,-8.714,0.248,-0.34,0.492,1.07,0.252,-0.491,-0.158,0.296,0.136
-2.691,-10.27,-8.764,0.42,-1.568,1.056,0.805,0.209,-0.691,-0.119,0.207,0.0
-1.619,-10.325,-9.388,0.545,-0.648,1.372,0.682,0.148,-0.87,0.107,0.249,-0.337
-1.216,-10.356,-8.944,0.403,0.32,1.522,1.292,-0.213,-0.713,0.304,0.466,-0.789
-0.723,-11.226,-8.642,0.385,0.345,1.572,2.255,-1.395,0.0,0.632,1.006,-1.18
1.363,-11.637,-8.942,0.458,0.654,1.093,2.233,-5.445,-3.248,0.941,1.315,-1.529
-3.268,-11.76,-8.569,-0.543,-0.684,-2.058,0.0,0.411,-1.367,0.0,0.667,-0.128
-3.519,-12.277,-7.947,-0.641,-0.777,-0.841,7.86,-9.4,2.234,-1.99,0.137,4.124
