accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-1.977,-9.163,-8.238,0.0,0.0,0.0,0.117,0.0,0.377,0.0,0.0,0.0
-1.937,-9.189,-8.216,0.0,0.0,0.0,-0.162,0.0,0.66,0.0,0.0,0.0
-1.989,-9.166,-8.318,0.0,0.0,0.0,0.124,0.0,0.419,0.0,0.0,0.0
-2.277,-9.08,-8.264,0.0,-0.131,0.0,0.0,0.0,0.602,0.0,0.0,0.0
-1.865,-9.152,-8.356,0.0,-0.37,0.0,0.0,0.0,0.57,0.0,0.0,0.0
-1.835,-9.261,-8.228,0.0,-0.374,0.0,0.0,0.0,0.646,0.0,0.0,0.0
-1.726,-9.264,-8.187,0.0,-0.233,0.0,0.0,0.0,0.648,0.0,0.0,0.0
-1.804,-9.183,-8.272,0.0,-0.218,0.0,0.105,0.0,0.642,0.0,0.0,0.0
-2.119,-9.313,-8.283,0.0,-0.215,0.0,-0.142,-0.395,0.494,0.146,0.192,0.0
-4.116,-9.583,-6.783,0.187,-2.06,0.337,-0.719,-1.18,0.0,0.515,0.189,-0.611
-6.998,-10.155,-5.927,0.584,-4.355,0.92,-0.944,-4.821,0.44,1.171,0.0,-1.341
-3.052,-9.821,-7.252,0.579,-4.355,2.017,2.081,2.281,1.616,0.593,-0.993,-1.286
-0.329,-10.359,-4.25,0.13,-2.906,1.419,-3.62,6.114,2.166,-0.767,1.106,0.884
0.521,-10.355,-4.815,1.09,-1.523,1.001,-1.846,0.173,3.838,-1.585,1.212,2.297
-0.235,-9.619,-4.123,0.948,-0.423,1.129,2.676,-2.633,5.234,-0.835,1.015,2.15
-0.78,-9.669,-3.4,1.053,-0.761,0.754,4.921,-3.095,0.72,0.397,-0.59,0.0
-3.284,-8.74,-2.711,1.391,-0.348,0.494,-1.935,-0.304,-0.948,-0.161,1.175,0.0
-3.086,-10.59,-0.927,1.385,-0.905,-0.203,-3.074,-1.704,1.43,0.131,0.0,-0.224
-2.415,-11.06,-0.652,2.117,-0.575,-0.97,-1.713,-1.257,4.311,0.0,0.674,0.288
-2.798,-8.264,-1.355,2.959,-0.23,-1.347,-8.993,0.258,5.724,-0.25,-0.725,1.631
-2.746,-4.476,-1.644,3.183,-0.217,-1.62,9.221,-1.873,1.358,0.71,-1.251,1.09
-2.6,-1.213,-3.569,2.94,-0.785,-1.839,1.035,-0.797,0.0,0.934,2.797,0.0
-2.15,0.31,-4.579,2.486,-0.764,-2.164,1.383,-1.211,0.0,1.436,1.865,-1.021
-3.287,0.829,-4.252,2.388,-1.201,-1.955,1.787,-1.504,-2.146,1.333,1.178,-1.804
-3.723,0.27,-4.81,3.18,-0.584,-1.688,2.75,-1.098,-2.988,0.844,2.757,-1.53
-4.53,-8.434,-8.289,0.0,0.278,0.0,-0.125,0.0,0.0,0.0,0.0,0.0
-4.418,-8.514,-8.233,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0
-4.611,-8.247,-8.331,0.0,0.115,0.0,-0.22,0.102,0.0,0.0,0.0,0.0
-4.523,-8.377,-8.382,0.0,0.0,0.0,-0.251,0.0,0.0,0.0,0.0,0.0
-4.462,-8.483,-8.129,0.0,0.0,0.0,-0.133,0.107,0.0,0.0,0.0,0.0
-4.828,-8.684,-8.56,0.0,0.0,0.0,-0.139,0.134,0.167,0.0,0.0,0.0
-10.926,-8.48,-3.57,-0.595,-2.186,-0.129,-0.792,-1.042,0.114,0.0,0.315,0.0
-5.258,-15.018,2.381,0.748,-2.914,0.881,-1.429,-2.818,0.629,-0.166,2.124,0.0
-4.971,-19.298,0.548,2.971,-1.37,1.086,-2.909,-0.84,4.145,-0.912,3.71,0.823
-2.962,-17.727,-3.3,3.887,-0.986,0.567,0.779,0.575,8.112,-0.697,4.362,2.531
-4.06,-14.14,-5.323,3.954,-1.409,-0.761,0.642,-2.041,8.434,0.505,1.679,2.427
-4.767,-10.463,-5.933,4.015,-1.507,-1.645,4.455,-3.859,1.931,1.575,0.207,1.595
-5.062,-7.199,-7.285,3.658,-1.49,-2.324,4.674,-1.984,-1.342,1.581,1.569,0.744
-3.975,-5.12,-7.865,3.741,-1.332,-2.782,2.799,-1.016,-1.914,1.65,2.707,0.255
