accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-0.74,-9.224,-8.254,0.0,0.0,0.0,-0.153,0.0,0.916,0.0,0.0,0.0
-0.65,-9.288,-8.308,0.0,0.0,0.0,-0.164,0.0,0.922,0.0,0.0,0.0
-0.784,-9.287,-8.208,0.0,0.0,0.0,-0.2,0.0,0.97,0.0,0.0,0.0
-0.752,-9.285,-8.212,0.0,0.0,0.0,-0.18,0.0,0.966,0.0,0.0,0.0
-0.716,-9.361,-8.262,0.0,-0.186,0.0,-0.103,-0.108,0.915,0.0,0.0,0.0
-1.552,-9.141,-7.626,0.0,-0.863,0.0,-0.341,0.0,0.986,0.0,0.0,0.0
-1.208,-9.552,-8.483,0.203,-0.927,0.176,-0.233,0.0,0.947,0.0,0.0,0.0
-0.912,-9.257,-8.105,0.0,-0.474,0.292,0.0,0.0,1.059,0.0,0.0,0.0
-0.332,-9.404,-7.618,0.117,-0.72,0.23,-0.176,-0.12,1.05,0.0,0.0,0.0
-4.373,-9.463,-8.631,0.148,-1.351,0.184,-0.172,0.0,1.049,0.0,0.0,0.0
-7.821,-11.905,-11.961,-0.568,-3.135,2.78,-0.146,0.0,1.053,0.0,0.0,0.0
-4.251,-12.615,-14.018,-2.809,-0.859,3.388,0.0,0.0,1.148,0.0,0.0,0.0
-18.043,-17.698,-9.216,-4.294,1.005,1.885,-0.425,-0.1,1.104,0.0,0.0,0.125
-12.384,-15.953,-11.892,-1.873,-3.439,3.023,-0.537,-0.17,0.917,0.0,0.0,0.0
-7.194,-9.416,-15.016,-0.129,-2.534,3.21,-0.445,-0.111,1.078,0.0,0.0,0.0
-6.73,-4.357,-17.637,0.441,-1.657,2.145,0.0,0.0,1.148,0.106,-0.117,-0.15
-8.686,-5.046,-16.985,0.132,-1.719,3.719,0.0,0.0,1.341,0.0,0.0,0.0
1.258,-3.655,-13.532,-1.671,-1.025,4.357,-0.147,0.0,1.197,0.0,0.0,0.0
3.819,0.924,-6.729,-1.577,-1.06,2.413,-0.154,-0.118,1.139,0.0,0.0,0.0
0.843,3.697,-3.274,-0.27,-0.971,0.341,-0.156,0.0,1.274,0.0,0.0,0.0
-1.163,3.914,-3.829,0.307,-0.557,-0.897,-0.154,-0.11,1.207,0.0,0.0,0.0
-2.598,3.235,-5.35,0.734,0.0,-1.516,-0.149,-0.12,1.172,0.0,0.0,0.0
-1.676,1.361,-7.209,1.038,0.322,-1.895,-0.184,-0.132,1.22,0.0,0.0,0.0
-1.614,-0.722,-10.145,1.86,0.0,-3.016,-0.253,-0.141,1.068,0.0,0.0,0.0
-3.819,-1.46,-11.794,0.794,0.153,-3.336,-0.137,0.0,1.105,0.0,0.0,0.0
-0.79,-9.303,-8.766,0.0,-0.304,0.0,0.0,0.0,0.948,-0.002294616954754603,0.0,0.001339175433087998
-1.013,-9.598,-8.5,0.147,-0.735,0.0,0.0,0.0,0.994,0.010362863271881318,0.0,0.011472093090071028
-14.266,-14.225,-1.259,1.654,-4.355,1.634,-0.127,0.0,0.974,0.010856595772004138,0.0,0.0012618192547815294
-3.97,-14.99,-18.881,3.224,-4.355,4.357,-0.209,0.0,1.005,0.004254127516932075,0.0,-0.00891711987726078
-11.461,-10.669,-12.851,-1.877,4.375,3.53,-0.19,-0.113,1.027,-0.011939936070929209,0.0,-0.008037178210314886
-2.8,-12.955,-12.608,-3.591,1.971,4.357,-0.244,0.0,0.879,-0.013993177848869259,-0.135,0.0025801124763445305
-3.82,-7.335,-7.105,-2.097,0.853,1.572,0.0,0.0,0.868,-0.002687829635544187,0.0,0.0006787027409070786
-3.902,-4.475,-8.863,-0.693,0.926,0.551,0.0,0.0,0.984,0.014223050439874018,0.0,0.007120134069114444
-7.921,-3.634,-12.117,0.0,0.0,0.0,0.0,0.0,1.037,0.002111941867339192,0.0,0.002890768798082618
-18.925,-7.039,-14.3,-0.139,0.231,-0.73,0.0,0.0,1.038,0.006460817038508002,0.0,-0.002754302356998653
-20.381,-9.291,-15.396,-1.417,-1.441,0.0,0.0,0.0,0.939,-0.003065941806817869,0.0,-0.01456416791778537
-16.859,-3.819,-10.566,0.712,-3.018,1.532,-0.127,-0.129,1.002,-0.0051876799769788,0.0,0.0004039028260879095
-7.122,-2.62,-15.974,2.015,-2.659,2.451,-0.24,0.0,1.145,-0.007234910337515666,0.0,0.01795024347350045
-1.102,-3.388,-14.077,1.857,-3.026,2.202,-0.134,0.0,1.162,-0.008504525122487285,0.0,-0.00226541794750089
0.573,-0.288,-11.278,0.761,-1.295,2.22,0.0,-0.102,1.19,0.028333256985202948,0.0,0.007385996459068793
0.256,2.106,-6.869,-0.464,-0.499,1.757,0.0,0.0,1.175,0.007783078907247164,0.0,0.01557217987390522
0.0,2.973,-4.092,-0.36,0.0,0.939,0.0,0.0,1.147,-0.016338605673675097,0.0,-0.008141311256750427
0.0,2.405,-3.029,0.732,-0.311,-0.212,0.0,0.0,1.14,-0.008527440209612951,0.0,-0.026405434200594758
0.0,1.187,-3.47,0.526,-1.08,-2.071,0.0,0.0,1.115,0.0026873724676360965,0.0,-0.00993189800429552
-1.701,0.243,-6.764,2.367,-2.119,-3.467,0.0,0.0,1.111,-0.008044018824291867,0.0,0.008646842613564217
-2.738,-1.617,-11.384,2.004,-0.364,-4.373,0.0,0.0,1.021,-0.0033327303243086003,0.0,0.008433096796560752
-6.489,-5.996,-12.017,0.28,1.542,-4.373,0.0,0.0,0.984,0.001370715933544054,0.0,-0.007424176581862756
-8.621,-15.077,-11.598,0.419,2.137,-4.373,-0.147,-0.11,0.922,-0.015386559212172258,0.0,-0.0033818183545665636
-12.381,-19.298,-7.852,-0.139,1.128,-4.373,-0.142,-0.122,0.956,0.013887415048992527,0.0,-0.012322800909972469
-7.098,-19.298,-5.878,-0.283,-0.622,-4.373,-0.168,0.0,0.893,-0.004733566346140024,0.0,-0.004377854280940451
0.446,-9.115,-7.553,0.0,0.0,0.0,0.0,0.0,0.854,0.0029641712366496897,0.009438551936405581,0.012452454259952688
0.226,-9.061,-7.531,0.0,0.0,0.0,0.0,0.0,0.919,-1.850165979995879e-05,-0.01699784833339912,0.0019398067504769036
0.153,-9.158,-7.547,0.0,-0.239,0.0,-0.109,0.0,0.898,0.008810200910988376,-0.004540667414125229,-0.013844705444547283
0.163,-8.916,-7.541,0.0,-0.156,0.0,0.0,0.0,0.951,-0.006837586222289482,0.0020737452838738585,-0.0037496632531272647
-1.246,-9.219,-7.149,0.0,-0.705,-0.228,0.0,0.0,0.969,0.000238015674565044,0.01749880059261341,0.0006588909378745204
-13.293,-12.219,-10.888,1.617,-4.355,3.064,0.0,-0.101,0.982,-0.005867869321005843,-0.01200082367193807,0.005488891378726642
-1.577,-18.24,-17.44,-3.463,-2.659,4.357,0.0,0.0,1.014,-0.006533172456085989,0.0022554005185349718,-0.016707100078127698
-11.373,-16.091,-11.552,-4.294,-0.101,4.357,-0.238,0.0,1.027,-0.0004811818202276838,0.003118416836305995,-0.009386196702961683
-3.481,-11.794,-14.921,-4.294,-0.311,3.501,-0.216,-0.129,0.971,-0.013736116834253803,0.009570350951392649,-0.0013320580876671501
-0.532,-6.328,-8.695,-2.604,-0.678,1.212,-0.194,0.0,0.781,-0.0005709235560268127,0.007688048345904827,0.0006367579170179687
-4.688,-4.361,-9.466,-0.671,0.597,0.0,0.0,0.0,0.802,0.027073245539880324,-0.011919785237410338,0.0026462816015376156
-20.381,-8.042,-16.367,-0.878,1.15,-0.796,0.0,0.0,0.868,-0.009938191746385472,0.004537445840450381,0.004111777835162144
-20.381,-8.23,-15.704,-1.151,-0.94,0.865,0.0,0.0,0.996,0.014994862854520464,0.004316675862054056,0.00643325283549701
-13.411,-2.722,-17.096,0.444,-3.24,2.522,0.0,-0.113,0.944,0.00047205745051953337,-0.023479072747275693,0.001740704825738627
-2.564,-2.376,-18.527,0.535,-3.483,3.299,-0.195,-0.138,0.987,0.0089070649397747,0.0006534560167110329,0.006339126468448027
2.599,-1.524,-13.629,1.306,-2.992,2.376,-0.146,0.0,1.14,0.015008815463590989,0.002623320980785174,0.00176062841247553
1.955,2.046,-10.857,0.0,-1.397,1.447,-0.116,0.0,1.123,0.0259092002550273,0.002551541906659625,0.006432072115047352
-0.152,3.386,-5.022,-0.203,-0.751,0.42,0.136,0.0,1.242,-0.006664972288633937,0.00129796861386197,-0.010144812812278471
-1.388,2.898,-2.641,0.263,-0.551,-0.602,0.0,0.0,1.172,-0.016861106843240624,0.004251887329524234,-0.00559868704682157
-1.541,1.937,-4.877,1.261,-0.8,-1.437,0.0,-0.134,1.154,-0.018307431890875053,0.014373342527508904,0.014634997418387655
-1.175,0.73,-9.226,2.373,-1.317,-2.542,0.0,0.0,1.124,0.01512875605025013,-0.008380338036279881,-0.004831833147406423
-2.801,0.995,-12.7,1.781,-0.641,-3.226,0.0,0.0,1.086,-0.003810103171269708,0.0072760916173018495,-0.004201778397829607
-5.137,-2.288,-10.999,-0.399,1.424,-4.373,0.0,-0.114,1.067,0.005183938170269935,-0.011291621783391211,-0.007377411492468509
-13.979,-9.066,-10.522,1.116,1.465,-4.373,0.0,-0.107,1.017,0.018973626845882354,0.014010092036259275,-0.003043592779070592
-15.487,-16.066,-7.347,0.0,0.563,-4.373,0.0,0.0,0.909,0.0005936700656199883,0.0006159139156161715,0.008852771459038981
-1.413,-9.263,-8.071,0.0,0.0,0.0,0.0,0.0,1.036,0.0,0.0,0.0006849051359696191
-1.511,-9.218,-8.07,0.0,-0.297,0.0,0.0,-0.104,0.998,0.0,0.0,0.011763542143233798
-5.624,-10.268,-5.842,0.224,-2.406,0.0,0.0,0.0,1.021,0.0,0.0,0.0009688760780523893
-12.007,-13.66,-6.514,2.321,-4.355,3.037,-0.166,0.0,0.972,0.0,0.0,-0.005484602006312157
-8.745,-10.046,-8.542,0.298,1.218,3.271,-0.142,0.0,1.11,0.0,0.0,0.003965769173358281
-11.635,-15.003,-16.755,-2.543,1.454,4.357,-0.364,-0.104,1.014,-0.116,0.0,0.01199504928128456
-1.898,-14.102,-10.51,-4.294,1.515,4.357,-0.285,0.0,0.51,0.0,-0.103,0.009947125972452182
-4.111,-9.002,-8.537,-2.523,0.726,1.235,0.0,0.0,0.811,0.0,-0.108,0.006672728107392231
-9.594,-6.832,-10.287,-0.92,1.217,-0.16,0.0,-0.1,0.891,0.0,0.0,-0.008147481046303204
-20.381,-5.629,-15.297,-1.273,0.235,-0.166,-0.124,0.0,0.956,0.0,0.0,-0.003879655595409203
-20.381,-4.065,-22.386,-0.895,-1.395,2.213,-0.222,-0.128,1.01,0.0,0.0,-0.007167862078863604
-9.888,-1.199,-18.703,-0.76,-4.355,2.713,-0.134,-0.124,1.048,0.0,0.0,0.020543952579410635
-0.885,-1.209,-15.29,0.715,-3.592,2.782,-0.191,0.0,0.99,0.0,0.0,-0.00014950323272620123
2.316,-0.842,-11.768,1.467,-3.048,2.025,-0.267,-0.148,1.094,0.0,0.0,0.024428902474254936
1.11,2.471,-8.469,0.227,-1.73,1.016,0.0,0.0,1.2,0.0,0.0,0.014948374229702105
-0.292,3.767,-6.015,0.0,-0.951,0.492,0.0,-0.101,1.165,0.0,0.0,-0.02519834161476158
-2.336,3.819,-4.359,-0.158,-0.632,0.487,0.0,0.0,1.102,0.0,0.0,-0.0035642334922575784
-2.463,3.686,-3.297,0.0,-0.624,0.284,0.0,0.0,1.092,0.0,0.0,-0.004671207847046094
-0.982,3.569,-4.106,0.819,-0.992,0.144,0.0,0.0,1.081,0.0,0.0,-0.0035976473727644697
0.739,4.349,-6.477,1.65,-2.249,-1.116,-0.101,0.0,0.984,0.0,0.0,0.008741425053707189
2.738,3.806,-6.747,1.925,-2.285,-3.084,-0.15,-0.129,1.002,0.0,0.0,0.001955355862453117
0.0,-0.936,-7.583,2.941,1.638,-4.373,-0.234,-0.106,0.968,0.0,0.0,0.003552128190212609
-9.346,-9.093,-14.779,4.436,2.98,-4.373,-0.139,-0.138,0.866,0.0,0.0,-0.016446467416156515
-16.739,-13.643,-16.69,4.436,0.512,-4.373,0.0,0.0,0.883,0.0,0.0,-0.008819718116690476
-19.792,-18.531,-12.421,3.106,-0.191,-4.373,-0.115,0.0,0.89,0.0,0.0,-0.01369626256456326
-10.245,-14.442,-9.361,0.45,-3.648,-2.799,0.0,0.0,0.926,0.022115655992626868,0.01665773148215585,0.001438707464185125
-1.811,-9.269,-7.952,-0.252,-1.287,0.122,-0.124,0.0,0.925,-0.014425331266508714,0.007603594616279434,0.007202373594442198
-2.031,-9.442,-8.137,-0.111,-1.737,0.256,0.0,0.0,0.945,0.013610968924980083,-0.002598870370654012,-0.0005471823180667562
-0.648,-9.408,-8.185,0.0,-1.367,0.534,0.0,0.0,0.939,0.015377732431056048,-0.0022596928101255385,-0.004500299253267416
-12.103,-10.318,-6.273,0.556,-2.003,0.0,0.0,0.0,1.005,-0.00016579821783934843,-0.001718474999116386,0.0005922301033408315
-10.901,-14.248,-16.433,-0.669,-3.1,4.357,-0.201,0.0,0.962,0.009068522938331639,-0.003353803682640139,-0.00010089717139436553
-11.477,-18.826,-16.202,-3.713,-0.569,4.357,-0.28,0.0,0.889,0.01298727325529543,-0.020642850007681166,-0.013772540566182523
0.818,-13.042,-10.719,-4.294,-0.122,4.195,-0.273,0.0,0.761,-0.004723147773576399,-0.0015666783036265024,-0.01259740839529011
-7.088,-9.815,-6.425,-1.883,0.206,-0.128,-0.256,0.0,0.82,-0.005473608087178383,0.001017969619080506,-0.0069654680595245076
-20.381,-12.45,-16.075,-1.347,-0.138,0.998,-0.231,0.0,0.744,-0.008787122376493347,0.006130561379279297,0.0037698137010998903
-16.982,-6.503,-17.461,-1.384,-2.925,2.797,-0.232,0.0,0.891,-0.018532327919464284,0.010391960988025875,-0.008247866697102476
-2.892,-3.044,-18.5,0.637,-2.204,4.086,-0.329,-0.1,1.031,-0.0033029505105647713,-0.012616422830505767,0.00339027655011286
3.412,-1.911,-13.513,0.24,-4.01,2.546,-0.214,-0.12,1.085,0.012156519980704758,-0.003932969412510759,0.011493346576084399
1.592,1.306,-9.542,0.271,-1.879,2.244,0.0,0.0,1.123,-0.010668622069055929,0.00617222117360697,0.00046209221700688663
0.546,3.363,-6.752,0.203,-1.12,1.505,-0.115,0.0,1.123,0.0013649112671297583,-0.0004650252664821263,0.0010665824453723817
-1.274,4.455,-5.525,0.222,-0.882,0.618,-0.122,-0.102,1.077,0.009693523043824355,-0.00240063563430202,0.01464923261908423
-1.941,5.798,-5.646,0.109,-0.975,0.21,0.0,0.0,1.069,-0.000338589443025833,0.008659685955893524,-0.00822153611288364
-1.753,5.576,-4.852,1.273,-0.941,0.0,-0.109,0.0,1.008,0.0010278223253008425,-0.0017080680818568146,0.004043853180262759
0.439,4.785,-6.2,1.506,-1.617,-0.596,-0.116,0.0,0.99,0.0030712335107198,0.0022909730759467072,-0.013193196550740584
2.674,3.735,-7.166,1.892,-2.554,-2.212,-0.185,0.0,0.95,0.015852263746973853,0.004301353119185519,-0.0011049352323670627
3.287,-0.637,-8.812,2.609,-0.272,-4.373,-0.133,0.0,0.942,0.0028381139416769692,-0.001716096674585626,0.007608351933846341
-7.986,-9.425,-11.57,4.436,0.624,-4.373,-0.11,0.0,0.873,-0.0048145135730303015,0.016811455625640594,0.002351925733230486
-13.12,-13.386,-12.712,2.048,-1.33,-4.373,0.0,0.0,0.913,-0.0017606950747340927,-0.0045578980941266365,-0.0010309446617049376
-15.173,-19.298,-7.968,0.203,-1.789,-4.373,-0.209,0.0,0.886,0.012209774788965976,-0.020448059091053045,0.004932737584616786
-7.502,-19.298,-3.628,-1.736,-3.056,-4.373,-0.185,0.0,0.844,-0.005285884389722855,-0.009192846821115765,-0.0034498205162057888
-12.316,-13.588,-6.817,-0.235,1.36,-3.91,0.0,0.0,0.93,0.0,-0.013967846708251304,0.0
1.032,-9.218,-7.884,0.0,-0.109,0.224,-0.129,0.0,0.933,0.0,0.008511913729277211,0.0
0.955,-9.152,-8.481,0.0,0.0,0.15,-0.109,0.0,0.956,0.0,-0.006824036946503069,0.0
0.639,-9.224,-8.335,0.0,0.151,0.175,-0.101,0.0,0.94,0.0,-0.010009173892103698,0.0
0.818,-9.258,-7.875,-0.104,0.0,0.0,0.0,0.0,0.93,0.0,0.003752406288381538,0.0
0.267,-9.5,-8.196,0.0,-0.231,0.0,-0.14,0.0,0.923,0.0,-0.0004598399853847895,0.0
-0.179,-9.244,-7.458,0.147,-0.787,0.0,-0.197,-0.106,0.869,0.0,-0.003995597452603572,0.0
-8.548,-12.204,-3.49,1.158,-4.18,0.659,-0.194,-0.1,1.136,0.0,-0.002031148337602233,0.0
-15.57,-19.298,-14.077,1.648,-2.584,4.357,-0.452,-0.107,0.64,0.0,-0.020807394979212197,0.0
-11.945,-19.298,-21.946,-4.294,1.545,4.357,-0.276,0.0,0.731,0.0,-0.0015715533010875061,0.0
2.649,-14.863,-6.596,-4.294,-1.068,4.252,-0.265,0.0,0.808,0.0,-0.02122195779383943,0.0
0.294,-7.924,-5.471,-2.7,0.0,0.153,-0.255,-0.101,0.916,0.0,-0.005185399718902405,0.0
-4.744,-4.588,-8.526,-0.67,-0.666,-0.738,0.0,0.0,1.039,0.0,-0.0016171144995947484,0.0
-8.804,-3.019,-11.155,0.223,0.638,-0.673,-0.149,-0.142,0.964,0.0,0.004733992456089094,0.0
-18.06,-4.421,-15.678,0.0,1.479,-0.938,-0.378,-0.153,0.88,0.0,-0.005478168559990663,0.0
