accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-1.6,-9.032,-7.378,0.0,0.0,0.0,-0.264,0.0,0.257,0.0,0.0,0.0
-1.461,-9.067,-7.395,0.0,0.0,0.0,-0.283,0.0,0.278,0.0,0.0,0.0
-1.549,-9.124,-7.376,0.0,0.0,0.0,-0.273,0.0,0.301,0.0,0.0,0.0
-1.519,-9.009,-7.408,0.0,0.0,0.0,-0.276,0.0,0.26,0.0,0.0,0.0
-1.492,-9.056,-7.44,0.0,0.0,0.0,-0.263,0.0,0.267,0.0,0.0,0.0
-1.425,-9.039,-7.391,0.0,0.0,0.0,-0.287,0.0,0.259,0.0,0.0,0.0
-1.504,-9.076,-7.371,0.0,0.0,0.0,-0.271,0.0,0.264,0.0,0.0,0.0
-1.661,-9.03,-7.366,0.0,0.0,0.0,-0.287,0.0,0.265,0.0,0.0,0.0
-1.953,-9.155,-7.311,0.0,0.0,0.0,-0.244,0.0,0.233,0.0,0.0,0.0
-8.221,-10.708,-6.039,0.486,-0.925,0.586,-0.2,0.0,0.242,0.0,0.0,0.0
-11.367,-14.23,-4.737,0.825,0.638,2.976,-0.423,0.0,0.28,0.0,0.0,0.0
-11.148,-13.428,-3.527,0.985,0.713,4.357,-0.55,-0.149,0.527,0.192,0.0,0.0
-11.319,-9.708,-3.385,1.148,0.117,4.357,-0.285,-0.384,0.433,0.383,0.299,-0.193
-6.839,-7.129,-6.06,2.184,-1.681,4.357,0.454,-0.684,1.634,0.34,0.349,-0.16
-1.043,-2.094,-9.801,2.458,-2.638,3.449,-1.231,-3.452,3.24,0.134,0.0,0.177
-1.639,1.591,-9.041,0.987,-0.974,1.007,9.376,-7.586,7.358,1.661,-2.07,-1.473
-3.382,5.033,-6.159,0.125,-1.127,0.755,9.83,-7.419,3.541,3.436,0.212,-4.265
0.138,13.197,-8.985,0.101,-0.657,1.056,5.889,-1.319,3.195,3.306,-0.212,-4.352
1.385,17.435,-9.758,-0.565,-0.893,0.0,4.047,4.21,2.969,2.403,0.409,-4.352
1.047,10.827,-5.448,-0.584,-1.584,0.0,0.0,9.762,2.672,1.128,1.34,-3.521
6.159,-7.321,-3.702,-2.467,-3.553,-0.626,-1.597,13.311,4.716,0.171,0.934,-1.662
-6.984,-7.087,8.33,-2.6,0.461,-4.373,0.136,11.817,6.446,-0.565,0.0,0.156
4.39,0.292,-3.295,2.197,-2.052,3.388,6.249,7.068,9.7,-0.731,0.1,1.215
1.441,1.625,0.747,-1.008,1.992,-1.154,9.998,5.157,11.37,-0.276,-0.87,0.646
-1.116,0.606,-2.652,0.0,0.477,0.301,7.213,9.622,7.972,0.0,-0.271,0.375
-1.922,-10.481,-8.059,0.218,0.0,0.0,1.169,-0.257,0.698,0.308,0.286,-0.221
-4.429,-10.891,-7.486,0.255,-0.237,0.471,1.779,-1.211,1.039,0.112,0.557,0.0
-3.538,-11.535,-7.212,0.394,0.358,1.643,-1.567,-1.726,5.201,0.15,0.9,0.173
-4.249,-9.899,-7.455,0.709,-0.143,1.618,18.907,-4.651,8.19,1.305,0.355,-1.206
-5.743,-8.803,-7.184,0.833,0.779,1.13,11.864,-5.703,8.214,3.566,0.55,-4.003
-8.775,-6.229,-7.841,0.917,1.271,1.988,3.561,-0.137,1.46,3.58,1.136,-4.352
-7.461,-2.887,-6.887,0.645,0.0,2.808,4.119,4.371,2.685,2.387,1.27,-2.985
-5.903,-1.684,-6.964,0.289,0.0,2.406,7.721,2.318,3.985,0.753,0.705,-2.164
-9.089,-2.11,-5.734,0.224,-0.315,2.131,6.304,4.122,5.934,0.318,1.627,-2.136
-13.605,1.942,-7.009,0.721,0.929,2.1,3.187,9.421,8.392,0.325,0.999,-2.078
-16.854,9.696,-5.373,0.0,-0.541,4.332,0.443,11.721,7.459,0.293,0.137,-1.264
-4.313,14.13,-9.851,0.0,-0.833,2.89,0.0,11.812,7.256,0.0,-0.111,0.0
-0.122,2.681,-4.774,0.168,-0.97,-0.795,4.248,12.477,9.799,-0.332,-0.416,0.657
-2.342,-15.372,-3.209,-0.757,-1.889,-2.069,5.838,12.458,13.994,-0.271,0.145,0.348
